"ValgId";"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_01. Arbejdsløshedsdagpenge";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_02. Sygedagpenge";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_03. Barselsdagpenge";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_04. Kontanthjælp";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_05. Revalidering";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_06. Aktivering";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_07. Folkepension";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_08. Førtidspension";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_09. Efterløn";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_10. Modtager ikke ydelser";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_11. Ledighedsydelse og Fleksjob";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_Antal personer i alt";"Boligstørrelse_Antal boliger_000-039";"Boligstørrelse_Antal boliger_040-079";"Boligstørrelse_Antal boliger_080-119";"Boligstørrelse_Antal boliger_120-159";"Boligstørrelse_Antal boliger_160-199";"Boligstørrelse_Antal boliger_200-";"Boligstørrelse_Antal boliger_Ingen BBR";"Boligstørrelse_Antal personer_000-039";"Boligstørrelse_Antal personer_040-079";"Boligstørrelse_Antal personer_080-119";"Boligstørrelse_Antal personer_120-159";"Boligstørrelse_Antal personer_160-199";"Boligstørrelse_Antal personer_200-";"Boligstørrelse_Antal personer_Ingen BBR";"Boligtype_Antal boliger_01. Stuehuse og parcelhuse";"Boligtype_Antal boliger_02. Række- og kædehuse";"Boligtype_Antal boliger_03. Flerfamiliehuse";"Boligtype_Antal boliger_04. Kollegier";"Boligtype_Antal boliger_05. Sommerhuse";"Boligtype_Antal boliger_06. Øvrige boliger";"Boligtype_Antal personer_01. Stuehuse og parcelhuse";"Boligtype_Antal personer_02. Række- og kædehuse";"Boligtype_Antal personer_03. Flerfamiliehuse";"Boligtype_Antal personer_04. Kollegier";"Boligtype_Antal personer_05. Sommerhuse";"Boligtype_Antal personer_06. Øvrige boliger";"Ejerforhold_Antal boliger_01. Ejerbolig";"Ejerforhold_Antal boliger_02. Andelsbolig";"Ejerforhold_Antal boliger_03. Almennyttig bolig";"Ejerforhold_Antal boliger_04. Lejer i offentligt ejet";"Ejerforhold_Antal boliger_05. Privat lejerbolig";"Ejerforhold_Antal boliger_06. Øvrige beboede boliger";"Ejerforhold_Antal personer_01. Ejerbolig";"Ejerforhold_Antal personer_02. Andelsbolig";"Ejerforhold_Antal personer_03. Almennyttig bolig";"Ejerforhold_Antal personer_04. Lejer i offentligt ejet";"Ejerforhold_Antal personer_05. Privat lejerbolig";"Ejerforhold_Antal personer_06. Øvrige beboede boliger";"Husstandsindkomster fordelt på afstemningsområder_100.000 - 149.999 kr";"Husstandsindkomster fordelt på afstemningsområder_150.000 - 199.999 kr.";"Husstandsindkomster fordelt på afstemningsområder_200.000 - 299.999 kr.";"Husstandsindkomster fordelt på afstemningsområder_300.000 - 399.999 kr.";"Husstandsindkomster fordelt på afstemningsområder_400.000 - 499.999 kr.";"Husstandsindkomster fordelt på afstemningsområder_50%-percentil for husstandsindkomst";"Husstandsindkomster fordelt på afstemningsområder_500.000 - 749.999 kr.";"Husstandsindkomster fordelt på afstemningsområder_750.000 kr.-";"Husstandsindkomster fordelt på afstemningsområder_80%-percentil for husstandsindkomst";"Husstandsindkomster fordelt på afstemningsområder_Antal husstande i alt";"Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 20%, der tjener mest";"Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 50%, der tjener mest";"Husstandsindkomster fordelt på afstemningsområder_Husstandenes formuesum";"Husstandsindkomster fordelt på afstemningsområder_Husstandenes indkomstbruttosum";"Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 20%, der tjener mest";"Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 50%, der tjener mest";"Husstandsindkomster fordelt på afstemningsområder_Under 100.000 kr."
"28";"756011";"756011";"79";"9";"3";"1160";"780";"406";"222";"23";"447";"2336";"780";"493";"9231";"210";"16088";"120";"1427";"2293";"1778";"1040";"467";"25";"183";"1810";"4681";"4738";"3136";"1440";"29";"3974";"1159";"1947";"12";"0";"58";"10690";"1917";"3212";"28";"0";"170";"4178";"269";"1457";"107";"957";"182";"10881";"427";"2700";"133";"1590";"286";"759";"652";"1189";"942";"689";"385687";"1795";"947";"674971";"7106";"-";"-";"4318214340";"3232820964";"-";"-";"133"
"28";"756012";"756012";"79";"9";"3";"74";"53";"30";"6";"1";"20";"160";"26";"32";"621";"13";"1036";"0";"31";"104";"146";"74";"60";"1";"0";"38";"191";"377";"221";"207";"2";"363";"50";"2";"0";"0";"1";"957";"72";"5";"0";"0";"2";"316";"17";"24";"12";"37";"10";"858";"27";"28";"19";"81";"23";"30";"32";"56";"51";"47";"467359";"124";"61";"695104";"407";"-";"-";"556522363";"199243775";"-";"-";"6"
"28";"756013";"756013";"79";"9";"3";"225";"176";"89";"17";"5";"71";"575";"99";"126";"1725";"57";"3165";"11";"218";"355";"418";"237";"123";"10";"12";"279";"689";"1077";"697";"397";"14";"999";"258";"92";"0";"6";"17";"2604";"377";"146";"0";"12";"26";"975";"58";"99";"3";"196";"41";"2521";"89";"132";"5";"340";"78";"167";"114";"243";"141";"134";"404305";"374";"180";"672697";"1367";"-";"-";"1113298879";"622700170";"-";"-";"14"
"28";"756014";"756014";"79";"9";"3";"23";"19";"26";"2";"0";"12";"40";"17";"9";"290";"5";"443";"0";"4";"28";"46";"33";"48";"1";"0";"7";"53";"124";"94";"163";"2";"155";"1";"1";"0";"0";"3";"435";"1";"1";"0";"0";"6";"132";"0";"0";"0";"25";"3";"376";"0";"0";"0";"62";"5";"5";"7";"19";"18";"18";"5443935";"46";"42";"779016";"158";"-";"-";"279838945";"94272402";"-";"-";"3"
"28";"756015";"756015";"79";"9";"3";"200";"144";"77";"15";"2";"49";"323";"54";"76";"1468";"30";"2438";"9";"120";"297";"310";"185";"83";"5";"13";"172";"604";"820";"563";"252";"14";"790";"185";"26";"0";"0";"8";"2064";"308";"41";"0";"0";"25";"756";"49";"51";"24";"100";"29";"1991";"90";"70";"25";"197";"65";"89";"61";"138";"129";"103";"481926";"340";"143";"688262";"1009";"-";"-";"794773490";"491593857";"-";"-";"6"
"28";"760001";"760001";"83";"9";"3";"285";"264";"137";"109";"7";"73";"1131";"210";"129";"2886";"85";"5316";"15";"386";"776";"619";"385";"213";"14";"23";"483";"1430";"1540";"1121";"686";"33";"1569";"540";"263";"0";"0";"36";"4010";"792";"434";"0";"0";"80";"1559";"75";"251";"82";"373";"68";"3897";"98";"416";"94";"669";"142";"327";"223";"382";"302";"209";"8587310";"645";"288";"1365237";"2410";"-";"-";"1588266266";"1095783518";"-";"-";"34"
"28";"760002";"760002";"83";"9";"3";"65";"88";"35";"13";"2";"15";"264";"31";"56";"857";"27";"1453";"11";"68";"156";"188";"104";"86";"10";"21";"90";"293";"465";"298";"265";"21";"476";"50";"2";"0";"68";"27";"1213";"60";"5";"0";"118";"57";"470";"24";"14";"20";"60";"35";"1166";"29";"18";"23";"138";"79";"39";"36";"83";"94";"65";"4642665";"176";"110";"730239";"624";"-";"-";"790432709";"338003799";"-";"-";"21"
"28";"760003";"760003";"83";"9";"3";"47";"40";"17";"12";"0";"7";"133";"25";"19";"380";"7";"687";"1";"27";"65";"88";"50";"48";"1";"5";"33";"129";"206";"136";"177";"1";"256";"18";"1";"0";"0";"5";"640";"20";"3";"0";"0";"24";"218";"0";"5";"10";"38";"9";"549";"0";"5";"10";"104";"19";"30";"23";"44";"38";"32";"403573";"73";"37";"649196";"283";"-";"-";"394364195";"130610431";"-";"-";"6"
"28";"760005";"760005";"83";"9";"3";"60";"70";"25";"13";"3";"9";"140";"40";"27";"747";"17";"1151";"0";"30";"97";"139";"82";"76";"6";"0";"46";"193";"346";"272";"279";"15";"403";"15";"3";"0";"0";"9";"1102";"19";"7";"0";"0";"23";"345";"5";"13";"0";"52";"15";"980";"6";"14";"0";"110";"41";"38";"29";"70";"42";"50";"931303";"107";"90";"1487440";"435";"-";"-";"308242080";"215626920";"-";"-";"9"
"28";"760008";"760008";"83";"9";"3";"49";"75";"20";"13";"1";"7";"161";"48";"27";"510";"12";"923";"3";"41";"101";"116";"77";"50";"4";"4";"57";"175";"276";"218";"180";"13";"340";"9";"17";"0";"12";"14";"828";"10";"35";"0";"17";"33";"309";"0";"12";"0";"52";"19";"771";"0";"13";"0";"102";"37";"35";"40";"64";"48";"42";"4056315";"99";"61";"6864645";"400";"-";"-";"357570857";"196068448";"-";"-";"11"
"28";"760009";"760009";"83";"9";"3";"71";"92";"40";"24";"2";"19";"220";"55";"41";"848";"30";"1442";"2";"75";"139";"183";"110";"87";"2";"3";"104";"277";"414";"352";"283";"9";"501";"39";"30";"0";"15";"13";"1269";"48";"59";"0";"26";"40";"450";"0";"26";"0";"99";"23";"1156";"0";"26";"0";"198";"62";"54";"50";"103";"88";"71";"3899227";"144";"90";"1314166";"615";"-";"-";"471336605";"286505430";"-";"-";"15"
"28";"760010";"760010";"83";"9";"3";"202";"241";"129";"41";"3";"37";"589";"146";"106";"2101";"58";"3653";"26";"182";"499";"541";"227";"95";"28";"43";"249";"975";"1408";"671";"265";"42";"1167";"246";"56";"0";"61";"68";"2968";"370";"88";"0";"99";"128";"1113";"45";"144";"39";"161";"96";"2819";"75";"219";"46";"315";"179";"145";"122";"208";"226";"150";"456969";"436";"289";"723597";"1603";"-";"-";"970240517";"807682026";"-";"-";"27"
"28";"760012";"760012";"83";"9";"3";"44";"60";"48";"4";"1";"10";"188";"38";"43";"895";"18";"1349";"1";"19";"143";"156";"132";"80";"2";"4";"27";"250";"428";"382";"253";"5";"414";"100";"9";"0";"0";"10";"1133";"166";"19";"0";"0";"31";"382";"50";"62";"1";"32";"6";"1054";"69";"111";"1";"83";"31";"30";"31";"62";"75";"43";"543310";"156";"124";"793118";"526";"-";"-";"445710782";"309404059";"-";"-";"5"
"28";"760013";"760013";"83";"9";"3";"44";"49";"18";"9";"1";"9";"151";"21";"17";"608";"12";"939";"2";"24";"79";"118";"71";"66";"1";"6";"38";"168";"272";"212";"238";"5";"328";"26";"2";"0";"0";"5";"875";"44";"3";"0";"0";"17";"288";"6";"11";"9";"39";"8";"771";"10";"19";"14";"105";"20";"24";"26";"43";"54";"49";"914988";"97";"63";"7371369";"362";"-";"-";"351361024";"184473966";"-";"-";"6"
"28";"760014";"760014";"83";"9";"3";"459";"424";"285";"107";"6";"94";"1611";"491";"221";"5477";"188";"9363";"99";"942";"1351";"1089";"562";"244";"27";"112";"1109";"2675";"2823";"1753";"791";"56";"2143";"1032";"1052";"28";"0";"59";"5711";"1707";"1627";"137";"0";"137";"2261";"129";"959";"66";"781";"118";"5808";"197";"1571";"81";"1402";"260";"508";"392";"675";"558";"399";"825669";"1039";"652";"8051066";"4281";"-";"-";"3299745404";"1997088534";"-";"-";"58"
"28";"760016";"760016";"83";"9";"3";"78";"82";"52";"33";"0";"17";"205";"59";"33";"1062";"32";"1653";"2";"50";"158";"193";"127";"110";"3";"7";"65";"296";"523";"357";"393";"12";"567";"48";"17";"0";"0";"11";"1528";"71";"23";"0";"0";"31";"494";"16";"24";"5";"87";"17";"1333";"22";"34";"6";"202";"56";"46";"40";"81";"94";"85";"906247";"195";"96";"1388133";"652";"-";"-";"499197310";"323519530";"-";"-";"15"
"28";"760019";"760019";"83";"9";"3";"33";"49";"21";"4";"0";"5";"177";"32";"33";"476";"16";"846";"1";"43";"94";"97";"62";"82";"1";"2";"53";"175";"224";"170";"220";"2";"337";"28";"6";"0";"3";"6";"789";"31";"12";"0";"4";"10";"308";"6";"7";"15";"38";"6";"722";"8";"7";"15";"83";"11";"45";"40";"64";"56";"36";"751376";"88";"63";"7340550";"397";"-";"-";"512850852";"189847648";"-";"-";"5"
"28";"760020";"760020";"83";"9";"3";"43";"56";"37";"4";"0";"7";"103";"21";"15";"535";"13";"834";"0";"10";"62";"92";"86";"70";"1";"0";"18";"120";"210";"241";"241";"4";"297";"19";"3";"0";"0";"2";"797";"22";"8";"0";"0";"7";"266";"7";"8";"3";"30";"7";"729";"7";"11";"3";"57";"27";"18";"13";"38";"47";"34";"522752";"97";"70";"773915";"322";"-";"-";"336695851";"182803616";"-";"-";"5"
