"ValgId";"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"Boligstørrelse_Antal boliger_000-039";"Boligstørrelse_Antal boliger_040-079";"Boligstørrelse_Antal boliger_080-119";"Boligstørrelse_Antal boliger_120-159";"Boligstørrelse_Antal boliger_160-199";"Boligstørrelse_Antal boliger_200-";"Boligstørrelse_Antal boliger_Ingen BBR";"Boligstørrelse_Antal personer_000-039";"Boligstørrelse_Antal personer_040-079";"Boligstørrelse_Antal personer_080-119";"Boligstørrelse_Antal personer_120-159";"Boligstørrelse_Antal personer_160-199";"Boligstørrelse_Antal personer_200-";"Boligstørrelse_Antal personer_Ingen BBR";"Boligtype_Antal boliger_01. Stuehuse og parcelhuse";"Boligtype_Antal boliger_02. Række- og kædehuse";"Boligtype_Antal boliger_03. Flerfamiliehuse";"Boligtype_Antal boliger_04. Kollegier";"Boligtype_Antal boliger_05. Sommerhuse";"Boligtype_Antal boliger_06. Øvrige boliger";"Boligtype_Antal boliger_07. Ingen BBR-oplysninger";"Boligtype_Antal personer_01. Stuehuse og parcelhuse";"Boligtype_Antal personer_02. Række- og kædehuse";"Boligtype_Antal personer_03. Flerfamiliehuse";"Boligtype_Antal personer_04. Kollegier";"Boligtype_Antal personer_05. Sommerhuse";"Boligtype_Antal personer_06. Øvrige boliger";"Boligtype_Antal personer_07. Ingen BBR-oplysninger";"Ejerforhold_Antal boliger_01. Ejerbolig";"Ejerforhold_Antal boliger_02. Andelsbolig";"Ejerforhold_Antal boliger_03. Almennyttig bolig";"Ejerforhold_Antal boliger_04. Lejer i offentligt ejet";"Ejerforhold_Antal boliger_05. Privat lejerbolig";"Ejerforhold_Antal boliger_06. Øvrige beboede boliger";"Ejerforhold_Antal boliger_07. Ingen BBR-oplysninger";"Ejerforhold_Antal personer_01. Ejerbolig";"Ejerforhold_Antal personer_02. Andelsbolig";"Ejerforhold_Antal personer_03. Almennyttig bolig";"Ejerforhold_Antal personer_04. Lejer i offentligt ejet";"Ejerforhold_Antal personer_05. Privat lejerbolig";"Ejerforhold_Antal personer_06. Øvrige beboede boliger";"Ejerforhold_Antal personer_07. Ingen BBR-oplysninger"
"195";"819003";"819003";"97";"17";"3";"70";"847";"1095";"743";"246";"113";"19";"76";"1153";"2217";"2063";"707";"345";"46";"1585";"560";"950";"1";"-";"18";"19";"4044";"1056";"1416";"1";"-";"44";"46";"1675";"68";"726";"74";"517";"54";"19";"4194";"105";"1176";"82";"922";"82";"46"
"195";"819005";"819005";"97";"17";"3";"-";"6";"40";"60";"19";"31";"-";"-";"9";"83";"130";"61";"82";"-";"146";"4";"5";"-";"-";"1";"-";"348";"6";"9";"-";"-";"2";"-";"137";"-";"4";"-";"15";"-";"-";"326";"-";"6";"-";"33";"-";"-"
"195";"819006";"819006";"97";"17";"3";"1";"54";"173";"195";"99";"60";"5";"1";"72";"366";"516";"292";"184";"6";"478";"49";"29";"-";"25";"1";"5";"1273";"82";"33";"-";"42";"1";"6";"469";"11";"25";"29";"48";"-";"5";"1219";"25";"40";"34";"113";"-";"6"
"195";"819007";"819007";"97";"17";"3";"2";"115";"254";"242";"146";"87";"3";"2";"140";"452";"590";"392";"259";"3";"665";"103";"73";"-";"-";"5";"3";"1609";"115";"104";"-";"-";"7";"3";"585";"-";"19";"17";"213";"12";"3";"1418";"-";"19";"18";"365";"15";"3"
"195";"819008";"819008";"97";"17";"3";"1";"52";"164";"129";"62";"42";"4";"2";"76";"297";"296";"163";"122";"8";"361";"33";"29";"-";"24";"3";"4";"820";"51";"35";"-";"44";"6";"8";"331";"-";"-";"30";"88";"1";"4";"750";"-";"-";"38";"165";"3";"8"
"195";"819009";"819009";"97";"17";"3";"-";"12";"61";"49";"23";"17";"-";"-";"19";"129";"107";"55";"46";"-";"153";"1";"1";"-";"7";"-";"-";"340";"1";"1";"-";"14";"-";"-";"146";"-";"1";"-";"15";"-";"-";"330";"-";"1";"-";"25";"-";"-"
"195";"819010";"819010";"97";"17";"3";"1";"24";"61";"82";"33";"29";"1";"1";"39";"113";"181";"86";"83";"3";"213";"12";"4";"-";"-";"1";"1";"483";"14";"5";"-";"-";"1";"3";"181";"-";"-";"1";"48";"-";"1";"409";"-";"-";"3";"91";"-";"3"
"195";"821001";"821001";"97";"17";"3";"207";"1661";"1618";"790";"342";"184";"52";"228";"2088";"3008";"2013";"951";"526";"86";"1818";"684";"2249";"-";"1";"50";"52";"4505";"1152";"3045";"-";"1";"111";"86";"1964";"156";"881";"18";"1615";"168";"52";"4672";"238";"1297";"50";"2351";"206";"86"
"195";"821002";"821002";"97";"17";"3";"10";"276";"463";"453";"223";"192";"6";"17";"362";"933";"1189";"629";"634";"9";"1268";"171";"155";"-";"-";"23";"6";"3267";"262";"186";"-";"-";"49";"9";"1135";"43";"109";"51";"275";"4";"6";"2952";"61";"179";"54";"513";"5";"9"
"195";"821003";"821003";"97";"17";"3";"9";"72";"228";"269";"136";"119";"3";"22";"101";"473";"713";"405";"396";"7";"743";"26";"47";"-";"-";"17";"3";"1958";"34";"76";"-";"-";"42";"7";"646";"10";"12";"13";"152";"-";"3";"1697";"15";"14";"14";"370";"-";"7"
"195";"821004";"821004";"97";"17";"3";"1";"47";"159";"229";"145";"138";"1";"3";"87";"317";"598";"412";"421";"2";"656";"33";"21";"-";"-";"9";"1";"1724";"41";"39";"-";"-";"34";"2";"608";"8";"22";"1";"80";"-";"1";"1588";"10";"34";"1";"205";"-";"2"
"195";"821005";"821005";"97";"17";"3";"4";"100";"217";"197";"112";"82";"4";"11";"149";"433";"492";"321";"255";"9";"561";"26";"32";"-";"75";"18";"4";"1374";"40";"54";"-";"135";"58";"9";"553";"6";"20";"4";"129";"-";"4";"1354";"7";"27";"10";"263";"-";"9"
"195";"821006";"821006";"97";"17";"3";"1";"92";"306";"485";"285";"119";"1";"1";"114";"619";"1366";"841";"363";"4";"1127";"94";"66";"-";"-";"1";"1";"3084";"136";"83";"-";"-";"1";"4";"1026";"140";"66";"-";"56";"-";"1";"2890";"215";"73";"-";"126";"-";"4"
