ValgId;Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Stemmeberettigede;Afgivne stemmer;Blanke stemmer;Andre ugyldige stemmer;Gyldige stemmer;A. Socialdemokratiet;B. Det Radikale Venstre;C. Det Konservative Folkeparti;D. Centrum-Demokraterne;F. SF - Socialistisk Folkeparti;K. Kristendemokraterne;I. Liberal Alliance;O. Dansk Folkeparti;V. Venstre, Danmarks Liberale Parti;M. Minoritetspartiet;Y. Ny Alliance;Ø. Enhedslisten - De Rød-Grønne;1. Uden for partierne;Å. Alternativet;2. Uden for partierne;3. Uden for partierne;4. Uden for partierne;5. Uden for partierne;6. Uden for partierne
2015;151010;151010;20;2;1;2082;1908;14;4;1890;579;105;48;-;108;3;142;329;270;-;-;188;2;116;0;-;-;-;-
2015;153001;153001;18;2;1;3254;2898;15;7;2876;1001;90;51;-;101;3;133;814;417;-;-;167;5;89;5;-;-;-;-
2015;153002;153002;18;2;1;3518;2778;20;6;2752;1018;54;49;-;102;6;126;789;321;-;-;210;5;66;6;-;-;-;-
2015;153003;153003;18;2;1;3044;2526;22;19;2485;836;55;41;-;118;8;111;726;280;-;-;222;6;78;4;-;-;-;-
2015;153004;153004;18;2;1;5510;4463;35;17;4411;1681;131;72;-;194;14;183;1156;427;-;-;409;9;130;5;-;-;-;-
2015;153005;153005;18;2;1;8438;6328;41;27;6260;2099;280;96;-;355;24;286;1528;672;-;-;683;36;194;7;-;-;-;-
2015;155001;155001;12;1;1;3805;3432;25;8;3399;770;200;247;-;118;3;458;573;727;-;-;178;1;124;0;0;0;-;-
2015;155004;155004;12;1;1;6311;5679;37;18;5624;1213;268;281;-;165;8;588;1368;1245;-;-;260;6;220;0;1;1;-;-
2015;157001;157001;13;2;1;5342;4862;32;15;4815;816;372;559;-;138;12;934;437;1131;-;-;219;1;196;0;-;-;-;-
2015;157002;157002;13;2;1;4433;3995;32;15;3948;916;368;267;-;199;13;411;530;673;-;-;314;2;255;0;-;-;-;-
