"year","valgstedid","voters","votes","a","b","c","v","vsnavn","komnavn","kredsnavn","kontanthjaelp","arbejd","boligstoer_kvm","ejer","formue","indkomst","indkomst_80pct"
2005,"101020",10005.78,8130.74,0.2129141997,0.2363253529,0.0643840536,0.1227268367,"5. Nørrebro","København","5. Nørrebro",0.0600756519,0.6635022163,63.92092507,0.041059459,-20678.833984375,299243.59375,4550085
2007,"101020",9466,7981,0.2284174915,0.1235434156,0.0573862924,0.0773086079,"5. Nørrebro","København","5. Nørrebro",0.0600756519,0.6635022163,63.91711773,0.041022676,-20678.833984375,299243.59375,4550085
2011,"101020",9812,8432,0.1592741935,0.2090844402,0.0303605313,0.0769686907,"5. Nørrebro","København","5. Nørrebro",0.0600756519,0.6635022163,62.4844358,0.02930118,-20678.833984375,299243.59375,4550085
2015,"101020",10225,8653,0.1794753265,0.1078238761,0.0169883277,0.0517739512,"5. Nørrebro","København","5. Nørrebro",0.0600756519,0.6635022163,62.4844358,0.02930118,-20678.833984375,299243.59375,4550085
2005,"101021",10194.9,8174.92,0.2068411679,0.2147250371,0.0748203041,0.1372294775,"5. Nord","København","5. Nørrebro",0.0624276847,0.6730830073,69.11154375,0.126870515,10654.5498046875,330738,481414
2007,"101021",11904,9734,0.2291966304,0.1018080953,0.0717074173,0.0919457571,"5. Nord","København","5. Nørrebro",0.0624276847,0.6730830073,69.10080624,0.126969389,10654.5498046875,330738,481414
2011,"101021",12648,10749,0.1691320123,0.1892269048,0.0281886687,0.0921015908,"5. Nord","København","5. Nørrebro",0.0624276847,0.6730830073,71.38086737,0.091327545,10654.5498046875,330738,481414
2015,"101021",13678,11140,0.1679533214,0.1045780969,0.013016158,0.0632854578,"5. Nord","København","5. Nørrebro",0.0624276847,0.6730830073,71.38086737,0.091327545,10654.5498046875,330738,481414
2005,"101022",5819,4631.25,0.211402969,0.2074839406,0.0579929825,0.1065824561,"5. Syd","København","5. Nørrebro",0.0554364659,0.6594021916,84.37254425,0.081144197,200248.703125,392287.25,582215
2007,"101022",5449,4605,0.2030401737,0.1024972856,0.0590662324,0.0857763301,"5. Syd","København","5. Nørrebro",0.0554364659,0.6594021916,84.37255386,0.08114353,200248.703125,392287.25,582215
2011,"101022",5699,4886,0.1586164552,0.1856324192,0.0300859599,0.0720425706,"5. Syd","København","5. Nørrebro",0.0554364659,0.6594021916,86.46523798,0.090614887,200248.703125,392287.25,582215
2015,"101022",5857,4880,0.1657786885,0.1004098361,0.0178278689,0.0579918033,"5. Syd","København","5. Nørrebro",0.0554364659,0.6594021916,86.46523798,0.090614887,200248.703125,392287.25,582215
