year;valgstedid;voters;votes;a;b;c;v;vsnavn;komnavn;kredsnavn;kontanthjaelp;arbejd;boligstoer_kvm;ejer;formue;indkomst;indkomst_80pct
2005;840006;999;818;.245721271393643;.0550122249388753;.0819070904645477;.4278728606356968;Haverslev;Rebild;5. Himmerland;.0377084836363792;.5917331576347351;126.6869565;.68173913;775461.8125;452759.25;682695
2007;840006;972;793;.2219419924337957;.0466582597730139;.1513240857503153;.3480453972257251;Haverslev;Rebild;5. Himmerland;.0377084836363792;.5917331576347351;126.6869565;.68173913;775461.8125;452759.25;682695
2011;840006;990;834;.2589928057553957;.0731414868105516;.052757793764988;.3477218225419664;Haverslev;Rebild;5. Himmerland;.0377084836363792;.5917331576347351;131.799308;.681583477;775461.8125;452759.25;682695
2015;840006;982;835;.2227544910179641;.0335329341317365;.0347305389221557;.2706586826347305;Haverslev;Rebild;5. Himmerland;.0377084836363792;.5917331576347351;131.799308;.681583477;775461.8125;452759.25;682695
2005;840007;1410;1251;.2158273381294964;.0927258193445244;.1278976818545164;.3693045563549161;Øster Hornum;Rebild;5. Himmerland;.0342465750873089;.6549974679946899;142.8178244;.817824377;1123738.625;563492.25;793948
2007;840007;1397;1273;.2254516889238021;.0644147682639434;.1665357423409269;.2969363707776905;Øster Hornum;Rebild;5. Himmerland;.0342465750873089;.6549974679946899;142.8178244;.817824377;1123738.625;563492.25;793948
2011;840007;1389;1267;.2344119968429361;.095501183898974;.0757695343330703;.3275453827940016;Øster Hornum;Rebild;5. Himmerland;.0342465750873089;.6549974679946899;146.2450067;.80952381;1123738.625;563492.25;793948
2015;840007;1409;1264;.245253164556962;.0506329113924051;.0332278481012658;.2832278481012658;Øster Hornum;Rebild;5. Himmerland;.0342465750873089;.6549974679946899;146.2450067;.80952381;1123738.625;563492.25;793948
2005;840008;1347;1137;.3157431838170625;.0729991204925242;.0897097625329815;.3087071240105541;Bælum;Rebild;5. Himmerland;.0480769239366055;.5652680397033691;130.619296;.753585398;830244.6875;462370.34375;684598
2007;840008;1302;1088;.2913602941176471;.0505514705882353;.1130514705882353;.2591911764705883;Bælum;Rebild;5. Himmerland;.0480769239366055;.5652680397033691;130.619296;.753585398;830244.6875;462370.34375;684598
2011;840008;1241;1052;.3593155893536122;.0570342205323194;.0370722433460076;.2281368821292776;Bælum;Rebild;5. Himmerland;.0480769239366055;.5652680397033691;133.6103542;.759133965;830244.6875;462370.34375;684598
2015;840008;1228;1043;.364333652924257;.0239693192713327;.0220517737296261;.1860019175455417;Bælum;Rebild;5. Himmerland;.0480769239366055;.5652680397033691;133.6103542;.759133965;830244.6875;462370.34375;684598
2005;840009;733;604;.2615894039735099;.0447019867549669;.0910596026490066;.3675496688741722;Ravnkilde;Rebild;5. Himmerland;.0461095087230206;.5965417623519898;;.787128713;791083.375;495036.5625;694062
2007;840009;730;624;.217948717948718;.0368589743589744;.1346153846153846;.3044871794871795;Ravnkilde;Rebild;5. Himmerland;.0461095087230206;.5965417623519898;;.787128713;791083.375;495036.5625;694062
2011;840009;721;632;.2246835443037975;.0664556962025316;.0474683544303798;.2990506329113924;Ravnkilde;Rebild;5. Himmerland;.0461095087230206;.5965417623519898;139.2156863;.7761557180000001;791083.375;495036.5625;694062
2015;840009;696;604;.2102649006622517;.0248344370860927;.0248344370860927;.2185430463576159;Ravnkilde;Rebild;5. Himmerland;.0461095087230206;.5965417623519898;139.2156863;.7761557180000001;791083.375;495036.5625;694062
2005;840010;1203;1042;.3253358925143954;.053742802303263;.0758157389635317;.3080614203454895;Blenstrup;Rebild;5. Himmerland;.0500305071473122;.6174496412277222;;.837593985;943399.125;516803.3125;712796
2007;840010;1198;1050;.3133333333333334;.0361904761904762;.100952380952381;.2771428571428571;Blenstrup;Rebild;5. Himmerland;.0500305071473122;.6174496412277222;;.837593985;943399.125;516803.3125;712796
2011;840010;1156;1026;.391812865497076;.0419103313840156;.0302144249512671;.239766081871345;Blenstrup;Rebild;5. Himmerland;.0500305071473122;.6174496412277222;144.4856278;.825301205;943399.125;516803.3125;712796
2015;840010;1169;1026;.3440545808966862;.0155945419103314;.0126705653021442;.2192982456140351;Blenstrup;Rebild;5. Himmerland;.0500305071473122;.6174496412277222;144.4856278;.825301205;943399.125;516803.3125;712796
2005;840011;559;490;.2306122448979592;.0918367346938776;.0510204081632653;.4040816326530612;Veggerby;Rebild;5. Himmerland;.0430247709155083;.6414602398872376;142.1587302;.850793651;1472366.625;535805.875;7354585
2007;840011;537;469;.1940298507462687;.0533049040511727;.1194029850746269;.3326226012793177;Veggerby;Rebild;5. Himmerland;.0430247709155083;.6414602398872376;142.1587302;.850793651;1472366.625;535805.875;7354585
