"ValgId";"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"Boligstørrelse_Antal boliger_000-039";"Boligstørrelse_Antal boliger_040-079";"Boligstørrelse_Antal boliger_080-119";"Boligstørrelse_Antal boliger_120-159";"Boligstørrelse_Antal boliger_160-199";"Boligstørrelse_Antal boliger_200-";"Boligstørrelse_Antal boliger_Ingen BBR";"Boligstørrelse_Antal personer_000-039";"Boligstørrelse_Antal personer_040-079";"Boligstørrelse_Antal personer_080-119";"Boligstørrelse_Antal personer_120-159";"Boligstørrelse_Antal personer_160-199";"Boligstørrelse_Antal personer_200-";"Boligstørrelse_Antal personer_Ingen BBR";"Boligtype_Antal boliger_01. Stuehuse og parcelhuse";"Boligtype_Antal boliger_02. Række- og kædehuse";"Boligtype_Antal boliger_03. Flerfamiliehuse";"Boligtype_Antal boliger_04. Kollegier";"Boligtype_Antal boliger_05. Sommerhuse";"Boligtype_Antal boliger_06. Øvrige boliger";"Boligtype_Antal boliger_07. Ingen BBR-oplysninger";"Boligtype_Antal personer_01. Stuehuse og parcelhuse";"Boligtype_Antal personer_02. Række- og kædehuse";"Boligtype_Antal personer_03. Flerfamiliehuse";"Boligtype_Antal personer_04. Kollegier";"Boligtype_Antal personer_05. Sommerhuse";"Boligtype_Antal personer_06. Øvrige boliger";"Boligtype_Antal personer_07. Ingen BBR-oplysninger";"Ejerforhold_Antal boliger_01. Ejerbolig";"Ejerforhold_Antal boliger_02. Andelsbolig";"Ejerforhold_Antal boliger_03. Almennyttig bolig";"Ejerforhold_Antal boliger_04. Lejer i offentligt ejet";"Ejerforhold_Antal boliger_05. Privat lejerbolig";"Ejerforhold_Antal boliger_06. Øvrige beboede boliger";"Ejerforhold_Antal boliger_07. Ingen BBR-oplysninger";"Ejerforhold_Antal personer_01. Ejerbolig";"Ejerforhold_Antal personer_02. Andelsbolig";"Ejerforhold_Antal personer_03. Almennyttig bolig";"Ejerforhold_Antal personer_04. Lejer i offentligt ejet";"Ejerforhold_Antal personer_05. Privat lejerbolig";"Ejerforhold_Antal personer_06. Øvrige beboede boliger";"Ejerforhold_Antal personer_07. Ingen BBR-oplysninger"
"30";"147005";"147005";"11";"1";"1";"44";"2848";"2280";"519";"102";"104";"16";"56";"4145";"4625";"1264";"281";"671";"523";"125";"68";"5634";"53";"-";"17";"16";"430";"179";"10014";"194";"-";"225";"523";"1161";"1312";"927";"208";"1397";"892";"16";"2396";"2216";"1839";"347";"2625";"1619";"523"
"30";"147006";"147006";"11";"1";"1";"24";"3937";"1696";"133";"15";"6";"2";"33";"5944";"3253";"379";"43";"10";"4";"1";"-";"5806";"-";"-";"4";"2";"1";"-";"9653";"-";"-";"8";"4";"1143";"2801";"426";"35";"977";"429";"2";"1926";"4777";"664";"51";"1579";"665";"4"
"30";"147007";"147007";"11";"1";"1";"127";"2855";"3106";"950";"286";"159";"7";"175";"4085";"5737";"2290";"722";"586";"12";"47";"2";"7368";"2";"-";"64";"7";"163";"6";"13143";"111";"-";"172";"12";"1227";"2835";"281";"48";"2587";"505";"7";"2516";"5289";"398";"158";"4400";"834";"12"
"30";"147008";"147008";"11";"1";"1";"20";"3051";"2881";"512";"211";"156";"38";"27";"4463";"5805";"1337";"639";"507";"40";"221";"271";"6329";"2";"-";"8";"38";"698";"792";"11241";"2";"-";"45";"40";"2097";"1687";"686";"12";"1473";"876";"38";"4493";"2841";"1579";"65";"2380";"1420";"40"
"30";"151001";"151001";"20";"2";"1";"210";"435";"1701";"340";"66";"4";"1";"245";"546";"3908";"910";"195";"79";"1";"591";"3";"2157";"-";"2";"3";"1";"1568";"8";"4223";"-";"2";"82";"1";"535";"-";"2177";"4";"17";"23";"1";"1459";"-";"4283";"84";"31";"26";"1"
"30";"151002";"151002";"20";"2";"1";"169";"2211";"1765";"265";"69";"18";"3";"187";"3220";"3806";"680";"213";"63";"106";"578";"115";"3798";"-";"-";"6";"3";"1495";"221";"6427";"-";"-";"26";"106";"861";"102";"3146";"146";"77";"165";"3";"1929";"137";"5518";"191";"157";"237";"106"
"30";"151003";"151003";"20";"2";"1";"-";"175";"713";"399";"96";"31";"-";"-";"221";"2046";"1073";"264";"109";"-";"637";"759";"13";"-";"2";"3";"-";"1710";"1956";"26";"-";"5";"16";"-";"655";"-";"737";"1";"20";"1";"-";"1764";"-";"1892";"7";"46";"4";"-"
"30";"151004";"151004";"20";"2";"1";"16";"424";"1231";"151";"31";"5";"-";"20";"505";"3219";"478";"95";"18";"-";"206";"516";"1131";"-";"-";"5";"-";"586";"1518";"2222";"-";"-";"9";"-";"211";"-";"1629";"2";"16";"-";"-";"593";"-";"3694";"3";"45";"-";"-"
"30";"151005";"151005";"20";"2";"1";"19";"178";"735";"792";"161";"16";"2";"19";"270";"1800";"2246";"493";"79";"7";"1436";"305";"151";"-";"1";"8";"2";"3890";"753";"212";"-";"1";"51";"7";"1725";"112";"-";"3";"59";"2";"2";"4598";"148";"-";"27";"129";"5";"7"
"30";"151006";"151006";"20";"2";"1";"29";"1268";"1574";"7";"-";"-";"-";"31";"1955";"3323";"25";"-";"-";"-";"-";"30";"2848";"-";"-";"-";"-";"-";"38";"5296";"-";"-";"-";"-";"-";"-";"2809";"-";"2";"67";"-";"-";"-";"5258";"-";"5";"71";"-"
