"ValgId";"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"Boligstørrelse_Antal boliger_000-040";"Boligstørrelse_Antal boliger_040-079";"Boligstørrelse_Antal boliger_080-119";"Boligstørrelse_Antal boliger_120-159";"Boligstørrelse_Antal boliger_160-199";"Boligstørrelse_Antal boliger_200-";"Boligstørrelse_Antal boliger_Ingen BBR";"Boligstørrelse_Antal personer_000-040";"Boligstørrelse_Antal personer_040-079";"Boligstørrelse_Antal personer_080-119";"Boligstørrelse_Antal personer_120-159";"Boligstørrelse_Antal personer_160-199";"Boligstørrelse_Antal personer_200-";"Boligstørrelse_Antal personer_Ingen BBR";"Boligtype_Antal boliger";"Boligtype_Antal boliger_01. Stuehuse og parcelhuse";"Boligtype_Antal boliger_02. Række- og kædehuse";"Boligtype_Antal boliger_03. Flerfamiliehuse";"Boligtype_Antal boliger_04. Kollegier";"Boligtype_Antal boliger_05. Sommerhuse";"Boligtype_Antal boliger_06. Øvrige boliger";"Boligtype_Antal boliger_07. Ingen BBR-oplysninger";"Boligtype_Antal personer";"Boligtype_Antal personer_01. Stuehuse og parcelhuse";"Boligtype_Antal personer_02. Række- og kædehuse";"Boligtype_Antal personer_03. Flerfamiliehuse";"Boligtype_Antal personer_04. Kollegier";"Boligtype_Antal personer_05. Sommerhuse";"Boligtype_Antal personer_06. Øvrige boliger";"Boligtype_Antal personer_07. Ingen BBR-oplysninger";"Ejerforhold_Antal boliger";"Ejerforhold_Antal boliger_01. Ejerbolig";"Ejerforhold_Antal boliger_02. Andelsbolig";"Ejerforhold_Antal boliger_03. Almennyttig bolig";"Ejerforhold_Antal boliger_04. Lejer i offentligt ejet";"Ejerforhold_Antal boliger_05. Privat lejerbolig";"Ejerforhold_Antal boliger_06. Øvrige beboede boliger";"Ejerforhold_Antal boliger_07. Ingen BBR-oplysninger";"Ejerforhold_Antal personer";"Ejerforhold_Antal personer_01. Ejerbolig";"Ejerforhold_Antal personer_02. Andelsbolig";"Ejerforhold_Antal personer_03. Almennyttig bolig";"Ejerforhold_Antal personer_04. Lejer i offentligt ejet";"Ejerforhold_Antal personer_05. Privat lejerbolig";"Ejerforhold_Antal personer_06. Øvrige beboede boliger";"Ejerforhold_Antal personer_07. Ingen BBR-oplysninger";"grossincome_anhus";"grossincome_ma100";"grossincome_mi100";"grossincome_mi150";"grossincome_mi200";"grossincome_mi300";"grossincome_mi400";"grossincome_mi500";"grossincome_smbru";"grossincome_smfor";"transferPayments_afak_1";"transferPayments_afak_2";"transferPayments_afak_3";"transferPayments_cash_1";"transferPayments_cash_2";"transferPayments_cash_3";"transferPayments_eabe_1";"transferPayments_eabe_2";"transferPayments_eabe_3";"transferPayments_earl_1";"transferPayments_earl_2";"transferPayments_earl_3";"transferPayments_komm_1";"transferPayments_komm_2";"transferPayments_komm_3";"transferPayments_mat_1";"transferPayments_mat_2";"transferPayments_mat_3";"transferPayments_old_1";"transferPayments_old_2";"transferPayments_old_3";"transferPayments_orlo_1";"transferPayments_orlo_2";"transferPayments_orlo_3";"transferPayments_reha_1";"transferPayments_reha_2";"transferPayments_reha_3";"transferPayments_sick_1";"transferPayments_sick_2";"transferPayments_sick_3";"transferPayments_unem_1";"transferPayments_unem_2";"transferPayments_unem_3"
"181";"775001";"775001";"93";"16";"3";"-";"24";"96";"104";"59";"42";"1";"-";"36";"193";"275";"177";"132";"2";"-";"307";"17";"-";"-";"-";"1";"1";"-";"784";"27";"-";"-";"-";"2";"2";"-";"276";"8";"8";"3";"29";"1";"1";"-";"728";"11";"9";"6";"57";"2";"2";"325";"28";"41";"29";"52";"45";"56";"74";"115577991";"75022559";"1";"4";"2";"5";"4";"0";"0";"0";"35";"1";"15";"37";"2";"0";"0";"4";"8";"0";"0";"0";"102";"1";"7";"1";"1";"2";"0";"12";"23";"13";"14";"32";"16"
"181";"775002";"775002";"93";"16";"3";"3";"32";"135";"142";"81";"41";"2";"4";"49";"260";"382";"222";"159";"4";"-";"371";"47";"14";"-";"-";"2";"2";"-";"973";"70";"26";"-";"-";"7";"4";"-";"350";"18";"16";"4";"43";"3";"2";"-";"929";"22";"21";"4";"96";"4";"4";"442";"39";"76";"38";"64";"64";"70";"91";"147878041";"149365447";"0";"4";"1";"6";"3";"0";"0";"0";"40";"0";"15";"42";"3";"2";"0";"11";"14";"0";"0";"0";"186";"4";"8";"2";"0";"5";"0";"15";"35";"14";"11";"31";"10"
"181";"775003";"775003";"93";"16";"3";"-";"22";"77";"79";"50";"45";"1";"-";"33";"173";"199";"134";"133";"2";"-";"268";"2";"-";"-";"3";"-";"1";"-";"661";"6";"-";"-";"5";"-";"2";"-";"220";"-";"13";"1";"36";"3";"1";"-";"544";"-";"32";"1";"85";"10";"2";"279";"19";"34";"27";"48";"47";"51";"53";"96116629";"135416435";"0";"2";"1";"2";"5";"1";"0";"0";"22";"2";"12";"20";"2";"0";"0";"6";"8";"0";"0";"0";"102";"3";"5";"0";"1";"4";"0";"12";"11";"7";"10";"20";"9"
"181";"775004";"775004";"93";"16";"3";"49";"82";"241";"272";"125";"89";"4";"50";"124";"451";"679";"357";"286";"6";"-";"670";"78";"62";"-";"-";"48";"4";"-";"1664";"116";"104";"-";"-";"63";"6";"-";"649";"31";"25";"51";"99";"3";"4";"-";"1623";"38";"34";"51";"190";"11";"6";"865";"105";"132";"68";"136";"127";"140";"157";"285151496";"273741646";"1";"13";"2";"15";"11";"1";"0";"0";"75";"10";"31";"85";"6";"2";"0";"16";"20";"0";"0";"0";"317";"6";"13";"3";"2";"2";"0";"28";"66";"24";"39";"48";"31"
"181";"775005";"775005";"93";"16";"3";"28";"112";"293";"243";"123";"58";"19";"32";"151";"652";"695";"342";"178";"35";"-";"646";"117";"75";"-";"1";"18";"19";"-";"1725";"166";"120";"-";"2";"37";"35";"-";"610";"27";"51";"22";"140";"7";"19";"-";"1643";"36";"106";"24";"227";"14";"35";"878";"82";"114";"84";"120";"128";"160";"190";"306819241";"197552726";"4";"8";"3";"16";"8";"1";"0";"0";"60";"1";"25";"72";"11";"1";"0";"17";"29";"0";"0";"0";"270";"9";"25";"4";"5";"6";"0";"23";"56";"24";"28";"66";"35"
"181";"775006";"775006";"93";"16";"3";"2";"37";"107";"132";"64";"51";"3";"2";"57";"211";"350";"183";"164";"4";"-";"346";"23";"16";"-";"1";"7";"3";"-";"888";"34";"29";"-";"1";"15";"4";"-";"321";"6";"2";"4";"57";"3";"3";"-";"830";"6";"2";"4";"118";"7";"4";"389";"37";"46";"37";"62";"55";"79";"73";"133806225";"146066027";"2";"2";"4";"7";"4";"0";"0";"0";"22";"8";"14";"43";"2";"2";"0";"8";"9";"0";"0";"0";"123";"2";"15";"3";"1";"2";"0";"12";"33";"7";"11";"22";"12"
"181";"777001";"777001";"92";"16";"3";"-";"102";"235";"248";"144";"87";"-";"-";"144";"452";"689";"455";"269";"-";"-";"628";"107";"62";"-";"13";"6";"-";"-";"1720";"157";"89";"-";"32";"11";"-";"-";"627";"32";"51";"25";"81";"-";"-";"-";"1715";"57";"78";"26";"133";"-";"-";"762";"67";"55";"81";"111";"82";"138";"228";"307668853";"675084608";"0";"7";"1";"3";"4";"1";"0";"0";"75";"1";"21";"83";"3";"1";"0";"17";"29";"0";"0";"0";"238";"3";"19";"3";"0";"6";"0";"25";"57";"15";"20";"65";"48"
"181";"777002";"777002";"92";"16";"3";"12";"75";"215";"216";"111";"76";"3";"12";"115";"390";"579";"321";"240";"7";"-";"562";"79";"53";"-";"2";"9";"3";"-";"1405";"137";"77";"-";"2";"36";"7";"-";"580";"7";"29";"10";"78";"1";"3";"-";"1431";"8";"36";"44";"137";"1";"7";"739";"81";"121";"85";"97";"125";"125";"105";"237473560";"331656288";"1";"5";"0";"15";"11";"0";"0";"0";"77";"3";"26";"69";"4";"1";"0";"11";"15";"0";"0";"0";"325";"5";"15";"2";"2";"4";"0";"22";"56";"19";"31";"66";"46"
"181";"777003";"777003";"92";"16";"3";"9";"98";"201";"239";"104";"76";"-";"10";"137";"385";"637";"319";"257";"-";"-";"553";"92";"75";"-";"-";"7";"-";"-";"1431";"144";"133";"-";"-";"37";"-";"-";"543";"25";"47";"1";"105";"6";"-";"-";"1425";"35";"62";"21";"192";"10";"-";"720";"61";"105";"84";"112";"91";"132";"135";"240910843";"225902754";"1";"4";"0";"8";"18";"4";"0";"0";"55";"3";"17";"70";"2";"3";"0";"19";"36";"0";"0";"0";"271";"4";"13";"1";"0";"8";"0";"19";"65";"17";"29";"59";"31"
"181";"777004";"777004";"92";"16";"3";"2";"28";"77";"91";"58";"60";"-";"2";"49";"155";"212";"168";"182";"-";"-";"294";"6";"11";"-";"4";"1";"-";"-";"735";"12";"13";"-";"7";"1";"-";"-";"272";"-";"4";"2";"38";"-";"-";"-";"690";"-";"5";"7";"66";"-";"-";"314";"20";"32";"29";"55";"56";"50";"72";"112638983";"153314742";"0";"1";"2";"4";"5";"0";"0";"0";"29";"1";"8";"25";"2";"2";"1";"6";"7";"0";"0";"0";"86";"5";"10";"2";"0";"2";"0";"14";"22";"14";"9";"43";"19"
