"Afstemningsområde","Opstillingskreds","Storkreds","Landsdel","Filnavn","Stemmeberettigede","IAltGyldigeStemmer","BlankeStemmer","AndreUgyldigeStemmer","IAltAfgivneStemmer","A","B","C","F","I","K","O","V","Ø","Å","UdenForParti","adrstring","lat","lon","zip","muninum","area","hp_1yr","hp_2yr","incsupport","hp_1yrposchange","hp_1yrnegchange","hp_2yrposchange","hp_2yrnegchange"
"Døstrup","3. Tønder","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495326.xml",507,418,2,1,421,85,7,13,12,30,3,135,119,11,3,0,"Døstrup, Tønder, Denmark",55.1188,8.80818,6780,550,"6780 Skærbæk",-25.8853,-31.8004,22.0096,0,25.8853,0,31.8004
"Toftlund","3. Tønder","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495327.xml",3082,2611,32,8,2651,581,44,60,52,152,57,795,746,76,48,0,"Toftlund, Tønder, Denmark",55.1885,9.06854,6520,550,"6520 Toftlund",NaN,NaN,23.9372,NA,NA,NA,NA
"Brøns","3. Tønder","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495328.xml",773,653,6,3,662,113,19,9,14,60,6,213,163,41,15,0,"Brøns, Tønder, Denmark",55.1949,8.7316,6780,550,"6780 Skærbæk",-25.8853,-31.8004,20.2144,0,25.8853,0,31.8004
"Tønder","3. Tønder","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495329.xml",6098,4938,31,34,5003,1343,187,110,186,294,26,1171,1141,353,127,0,"Tønder, Tønder, Denmark",54.9396,8.86442,6270,550,"6270 Tønder",-20.6926,7.95344,30.9842,0,20.6926,7.95344,0
"Abild","3. Tønder","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495330.xml",829,712,8,2,722,142,17,8,16,50,6,252,187,21,13,0,"Abild, Tønder, Denmark",54.979,8.86862,6270,550,"6270 Tønder",-20.6926,7.95344,22.3315,0,20.6926,7.95344,0
"Hostrup","3. Tønder","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495331.xml",766,641,7,1,649,137,28,8,18,51,14,174,154,34,23,0,"Hostrup, Tønder, Denmark",54.9473,8.96495,6270,550,"6270 Tønder",-20.6926,7.95344,25.741,0,20.6926,7.95344,0
"Rømø","3. Tønder","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495332.xml",454,401,1,1,403,70,16,10,17,29,0,121,114,15,9,0,"Rømø, Tønder, Denmark",55.1389,8.51387,6792,550,"6792 Rømø",NaN,NaN,21.4464,NA,NA,NA,NA
"Skærbæk","3. Tønder","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495333.xml",2851,2330,13,18,2361,525,37,47,40,174,18,736,637,90,26,0,"Skærbæk, Tønder, Denmark",55.1564,8.76842,6780,550,"6780 Skærbæk",-25.8853,-31.8004,24.1202,0,25.8853,0,31.8004
"Vodder","3. Tønder","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495334.xml",505,428,6,1,435,54,6,11,5,52,13,111,152,15,9,0,"Vodder, Tønder, Denmark",55.2204,8.84396,6780,550,"6780 Skærbæk",-25.8853,-31.8004,14.0187,0,25.8853,0,31.8004
"Esbjerg Rådhus","4. Esbjerg By","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495335.xml",10038,7893,98,41,8032,1806,300,165,277,862,43,1838,1582,750,270,0,"Esbjerg Rådhus, Esbjerg By, Denmark",55.4724,8.45297,6700,561,"6700 Esbjerg",2.56252,-2.36608,26.6819,2.56252,0,0,2.36608
"Skovbo Centeret","4. Esbjerg By","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495336.xml",2260,1685,18,12,1715,547,40,19,66,90,8,474,249,161,31,0,"Skovbo Centeret, Esbjerg By, Denmark",55.4765,8.45941,6700,561,"6700 Esbjerg",2.56252,-2.36608,34.8368,2.56252,0,0,2.36608
"Rørkjær","4. Esbjerg By","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495337.xml",3432,2802,37,13,2852,857,76,34,126,150,5,774,376,313,91,0,"Rørkjær, Esbjerg By, Denmark",55.4683,8.46327,6700,561,"6700 Esbjerg",2.56252,-2.36608,33.2976,2.56252,0,0,2.36608
"Bakkeskolen","4. Esbjerg By","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495338.xml",4699,3575,38,13,3626,1159,90,51,134,138,31,1039,479,386,68,0,"Bakkeskolen, Esbjerg By, Denmark",55.4822,8.48336,6705,561,"6705 Esbjerg Ø",18.3275,5.50019,34.9371,18.3275,0,5.50019,0
"Boldesager","4. Esbjerg By","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495339.xml",4824,3980,47,12,4039,1183,139,93,153,265,24,902,698,390,133,0,"Boldesager, Esbjerg By, Denmark",55.4785,8.45998,6700,561,"6700 Esbjerg",2.56252,-2.36608,33.2161,2.56252,0,0,2.36608
"Østerbycentret","4. Esbjerg By","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495340.xml",3659,2875,31,17,2923,920,70,23,131,111,18,846,353,330,73,0,"Østerbycentret, Esbjerg By, Denmark",55.464,8.48409,6700,561,"6700 Esbjerg",2.56252,-2.36608,34.4348,2.56252,0,0,2.36608
"Skads","5. Esbjerg Omegn","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495348.xml",1546,1371,14,4,1389,306,29,21,36,90,19,437,363,55,15,0,"Skads, Esbjerg Omegn, Denmark",NA,NA,NA,NA,NA,NA,NA,24.4347,NA,NA,NA,NA
"Vitaskolen","4. Esbjerg By","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495341.xml",3106,2615,15,14,2644,606,73,61,99,195,26,622,691,187,55,0,"Vitaskolen, Esbjerg By, Denmark",55.5072,8.43887,6715,561,"6715 Esbjerg N",-4.12849,-16.4618,25.9656,0,4.12849,0,16.4618
"Bryndum","5. Esbjerg Omegn","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495349.xml",2471,2139,10,1,2150,508,52,38,58,167,11,629,545,96,35,0,"Bryndum, Esbjerg Omegn, Denmark",NA,NA,NA,NA,NA,NA,NA,26.1805,NA,NA,NA,NA
"Sædding","4. Esbjerg By","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495342.xml",5475,4734,38,15,4787,1268,116,89,120,354,55,1282,1046,300,104,0,"Sædding, Esbjerg By, Denmark",55.5022,8.39999,6710,561,"6710 Esbjerg V",5.00954,7.122,29.2353,5.00954,0,7.122,0
"Hjerting","5. Esbjerg Omegn","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495350.xml",5699,5060,41,12,5113,1202,154,134,134,480,20,1140,1524,182,90,0,"Hjerting, Esbjerg Omegn, Denmark",NA,NA,NA,NA,NA,NA,NA,26.7984,NA,NA,NA,NA
"Guldager","5. Esbjerg Omegn","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495351.xml",1059,934,4,2,940,216,11,13,27,63,12,256,271,49,16,0,"Guldager, Esbjerg Omegn, Denmark",NA,NA,NA,NA,NA,NA,NA,24.3041,NA,NA,NA,NA
"Tjæreborg","5. Esbjerg Omegn","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495352.xml",2516,2219,20,2,2241,572,60,37,69,167,12,555,564,133,50,0,"Tjæreborg, Esbjerg Omegn, Denmark",NA,NA,NA,NA,NA,NA,NA,28.4813,NA,NA,NA,NA
"Kvaglund","4. Esbjerg By","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495343.xml",2793,2088,24,9,2121,667,53,20,81,60,27,565,373,208,34,0,"Kvaglund, Esbjerg By, Denmark",55.4921,8.486,6705,561,"6705 Esbjerg Ø",18.3275,5.50019,34.4828,18.3275,0,5.50019,0
"Ådalskolen","4. Esbjerg By","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495344.xml",2611,2156,17,6,2179,563,30,42,46,122,25,717,460,119,32,0,"Ådalskolen, Esbjerg By, Denmark",55.5081,8.39887,6710,561,"6710 Esbjerg V",5.00954,7.122,27.5046,5.00954,0,7.122,0
"Blåbjerggårdskolen","4. Esbjerg By","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495345.xml",2968,2536,26,8,2570,814,49,27,108,117,18,744,426,186,47,0,"Blåbjerggårdskolen, Esbjerg By, Denmark",55.5155,8.44764,6715,561,"6715 Esbjerg N",-4.12849,-16.4618,34.03,0,4.12849,0,16.4618
"Sønderris","5. Esbjerg Omegn","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495353.xml",2813,2415,18,10,2443,593,61,41,67,178,44,682,578,117,54,0,"Sønderris, Esbjerg Omegn, Denmark",NA,NA,NA,NA,NA,NA,NA,27.0807,NA,NA,NA,NA
"Bramming","5. Esbjerg Omegn","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495354.xml",7876,6698,54,21,6773,1549,152,141,189,447,80,1951,1711,328,150,0,"Bramming, Esbjerg Omegn, Denmark",55.4692,8.70165,6740,561,"6740 Bramming",5.67023,6.33133,25.3956,5.67023,0,6.33133,0
"Ribe","5. Esbjerg Omegn","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495355.xml",8515,7147,47,37,7231,1803,220,231,375,468,30,1518,1606,597,299,0,"Ribe, Esbjerg Omegn, Denmark",NA,NA,NA,NA,NA,NA,NA,28.3056,NA,NA,NA,NA
"Egebæk-Hviding","5. Esbjerg Omegn","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495356.xml",1488,1281,12,4,1297,288,27,21,52,106,19,318,322,81,47,0,"Egebæk-Hviding, Esbjerg Omegn, Denmark",NA,NA,NA,NA,NA,NA,NA,24.5902,NA,NA,NA,NA
"Gredstedbro","5. Esbjerg Omegn","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495357.xml",2069,1793,20,3,1816,366,50,60,46,126,9,508,517,75,36,0,"Gredstedbro, Esbjerg Omegn, Denmark",NA,NA,NA,NA,NA,NA,NA,23.2013,NA,NA,NA,NA
"Mandø","5. Esbjerg Omegn","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495358.xml",33,32,1,0,33,5,3,1,0,2,0,5,11,0,5,0,"Mandø, Esbjerg Omegn, Denmark",NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA
"Høm","5. Esbjerg Omegn","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495359.xml",1228,1003,11,2,1016,175,28,16,26,66,11,290,318,49,24,0,"Høm, Esbjerg Omegn, Denmark",NA,NA,NA,NA,NA,NA,NA,20.2393,NA,NA,NA,NA
"Gørding","5. Esbjerg Omegn","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495360.xml",2680,2222,16,7,2245,426,46,33,55,151,28,738,630,83,32,0,"Gørding, Esbjerg Omegn, Denmark",NA,NA,NA,NA,NA,NA,NA,21.2421,NA,NA,NA,NA
"Nordby","4. Esbjerg By","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495346.xml",2277,2013,20,3,2036,528,68,68,107,127,5,405,390,202,113,0,"Nordby, Esbjerg By, Denmark",55.4349,8.39315,6720,563,"6720 Fanø",NaN,NaN,29.6076,NA,NA,NA,NA
"Sønderho","4. Esbjerg By","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495347.xml",258,231,5,1,237,80,3,9,9,12,2,43,35,28,10,0,"Sønderho, Esbjerg By, Denmark",55.4765,8.45941,6700,561,"6700 Esbjerg",2.56252,-2.36608,35.9307,2.56252,0,0,2.36608
"Varde By","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495361.xml",10598,8798,66,44,8908,2041,212,157,250,565,49,2571,2381,383,189,0,"Varde By, Varde, Denmark",55.6232,8.48215,6800,573,"6800 Varde",-1.43585,8.46075,25.6081,0,1.43585,8.46075,0
"Sig","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495362.xml",840,754,9,4,767,151,23,5,13,48,6,184,264,45,15,0,"Sig, Varde, Denmark",55.6662,8.5743,6800,573,"6800 Varde",-1.43585,8.46075,23.0769,0,1.43585,8.46075,0
"Billum","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495363.xml",569,503,8,1,512,84,17,16,9,42,0,140,161,22,12,0,"Billum, Varde, Denmark",55.6157,8.33112,6852,573,"6852 Billum",NaN,NaN,20.0795,NA,NA,NA,NA
"Tinghøj","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495364.xml",649,581,5,2,588,94,14,8,9,50,6,163,211,11,15,0,"Tinghøj, Varde, Denmark",55.6612,8.47046,6800,573,"6800 Varde",-1.43585,8.46075,18.5886,0,1.43585,8.46075,0
"Alslev","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495365.xml",1130,1026,14,1,1041,215,28,16,30,63,5,305,307,36,21,0,"Alslev, Varde, Denmark",55.5876,8.41889,6800,573,"6800 Varde",-1.43585,8.46075,23.6842,0,1.43585,8.46075,0
"Horne","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495366.xml",842,726,10,1,737,124,14,4,12,49,7,220,270,18,8,0,"Horne, Varde, Denmark",55.7234,8.53205,6800,573,"6800 Varde",-1.43585,8.46075,19.0083,0,1.43585,8.46075,0
"Janderup","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495367.xml",996,880,3,7,890,153,30,9,28,54,13,250,291,33,19,0,"Janderup, Varde, Denmark",55.625,8.37143,6851,573,"6851 Janderup Vestj",NaN,NaN,20.7955,NA,NA,NA,NA
"Lunde","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495368.xml",951,795,9,3,807,116,23,9,23,69,13,255,250,27,10,0,"Lunde, Varde, Denmark",55.7585,8.36819,6830,573,"6830 Nørre Nebel",NaN,NaN,17.4843,NA,NA,NA,NA
"Nørre Nebel","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495369.xml",1764,1526,3,8,1537,280,30,25,44,105,13,440,492,54,43,0,"Nørre Nebel, Varde, Denmark",55.7789,8.29102,6830,573,"6830 Nørre Nebel",NaN,NaN,20.3145,NA,NA,NA,NA
"Henne","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495370.xml",587,503,6,1,510,58,11,17,15,42,18,141,178,11,12,0,"Henne, Varde, Denmark",55.7162,8.22766,6854,573,"6854 Henne",NaN,NaN,13.7177,NA,NA,NA,NA
"Outrup","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495371.xml",1171,1027,10,0,1037,159,25,23,18,78,10,295,361,38,20,0,"Outrup, Varde, Denmark",55.72,8.34292,6855,573,"6855 Outrup",NaN,NaN,17.9163,NA,NA,NA,NA
"Oksbøl","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495372.xml",2780,2385,25,7,2417,464,41,39,59,156,15,617,861,94,39,0,"Oksbøl, Varde, Denmark",55.628,8.28019,6840,573,"6840 Oksbøl",NaN,NaN,21.174,NA,NA,NA,NA
"Blåvand","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495373.xml",437,392,0,0,392,76,4,10,9,28,1,113,133,13,5,0,"Blåvand, Varde, Denmark",55.5629,8.18023,6857,573,"6857 Blåvand",NaN,NaN,20.4082,NA,NA,NA,NA
"Årre","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495374.xml",896,802,7,2,811,139,21,12,15,60,14,237,274,26,4,0,"Årre, Varde, Denmark",55.572,8.66466,6818,573,"6818 Årre",NaN,NaN,19.9501,NA,NA,NA,NA
"Agerbæk","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495375.xml",1236,1097,6,3,1106,170,27,13,23,59,15,338,405,28,19,0,"Agerbæk, Varde, Denmark",55.602,8.80006,6753,573,"6753 Agerbæk",NaN,NaN,17.9581,NA,NA,NA,NA
"Fåborg","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495376.xml",508,441,5,0,446,43,8,8,12,35,3,128,187,8,9,0,"Fåborg, Varde, Denmark",55.5869,8.73909,6818,573,"6818 Årre",NaN,NaN,11.5646,NA,NA,NA,NA
"Næsbjerg","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495377.xml",1061,938,11,2,951,141,16,11,12,69,7,250,385,33,14,0,"Næsbjerg, Varde, Denmark",55.6244,8.59882,6800,573,"6800 Varde",-1.43585,8.46075,16.7377,0,1.43585,8.46075,0
"Starup","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495378.xml",810,681,6,5,692,83,12,9,10,63,18,205,259,9,13,0,"Starup, Varde, Denmark",55.6453,8.80855,7200,573,"7200 Grindsted",20.5411,13.1139,13.9501,20.5411,0,13.1139,0
"Nordenskov","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495379.xml",1009,896,6,2,904,143,21,19,10,59,4,220,361,37,22,0,"Nordenskov, Varde, Denmark",55.6509,8.68428,6800,573,"6800 Varde",-1.43585,8.46075,18.3036,0,1.43585,8.46075,0
"Ølgod","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495380.xml",4425,3803,32,9,3844,645,115,65,61,216,194,1080,1242,126,59,0,"Ølgod, Varde, Denmark",55.8073,8.61842,6870,573,"6870 Ølgod",-24.4498,-13.9275,19.9842,0,24.4498,0,13.9275
"Tistrup","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495381.xml",1493,1270,22,3,1295,211,31,19,16,79,10,348,486,46,24,0,"Tistrup, Varde, Denmark",55.718,8.60525,6862,573,"6862 Tistrup",NaN,NaN,19.0551,NA,NA,NA,NA
"Ansager","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495382.xml",1387,1173,8,3,1184,245,19,14,33,49,34,349,372,37,21,0,"Ansager, Varde, Denmark",55.7034,8.75502,6823,573,"6823 Ansager",NaN,NaN,22.5064,NA,NA,NA,NA
"Skovlund","6. Varde","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495383.xml",611,548,4,1,553,72,11,2,10,65,12,147,196,18,15,0,"Skovlund, Varde, Denmark",55.7381,8.70774,6823,573,"6823 Ansager",NaN,NaN,15.146,NA,NA,NA,NA
"Brørup","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495391.xml",4148,3531,40,12,3583,911,65,77,96,232,17,1021,946,120,46,0,"Brørup, Vejen, Denmark",55.4828,9.01848,6650,575,"6650 Brørup",-19.3323,NaN,27.6409,0,19.3323,NA,NA
"Lindknud","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495392.xml",649,556,4,1,561,103,7,8,12,42,2,184,170,11,17,0,"Lindknud, Vejen, Denmark",55.566,9.01722,6650,575,"6650 Brørup",-19.3323,NaN,19.7842,0,19.3323,NA,NA
"Holsted","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495393.xml",2658,2222,21,5,2248,478,44,45,53,148,23,658,625,107,41,0,"Holsted, Vejen, Denmark",55.5083,8.9157,6670,575,"6670 Holsted",NaN,NaN,23.4923,NA,NA,NA,NA
"Føvling","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495394.xml",853,755,8,0,763,119,10,11,17,54,10,247,257,22,8,0,"Føvling, Vejen, Denmark",55.4505,8.93792,6683,575,"6683 Føvling",NaN,NaN,17.0861,NA,NA,NA,NA
"Glejbjerg","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495395.xml",934,799,5,4,808,126,13,19,13,50,5,250,289,24,10,0,"Glejbjerg, Vejen, Denmark",55.557,8.82476,6752,575,"6752 Glejbjerg",NaN,NaN,17.3967,NA,NA,NA,NA
"Hovborg","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495396.xml",422,365,3,1,369,68,8,10,9,30,5,95,116,12,12,0,"Hovborg, Vejen, Denmark",55.6055,8.93959,6682,575,"6682 Hovborg",NaN,NaN,20.8219,NA,NA,NA,NA
"Rødding","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495397.xml",2656,2266,15,6,2287,415,42,71,50,129,49,634,763,71,42,0,"Rødding, Vejen, Denmark",55.3668,9.05855,6630,575,"6630 Rødding",-0.951113,-22.0509,20.1677,0,0.951113,0,22.0509
"Sdr. Hygum","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495398.xml",683,583,0,1,584,94,7,10,9,45,6,153,202,40,17,0,"Sdr. Hygum, Vejen, Denmark",55.3781,8.89992,6760,561,"6760 Ribe",-9.51651,9.61429,17.3242,0,9.51651,9.61429,0
"Jels","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495399.xml",1904,1629,23,5,1657,356,31,29,33,140,12,461,468,58,41,0,"Jels, Vejen, Denmark",55.3551,9.20488,6630,575,"6630 Rødding",-0.951113,-22.0509,23.7569,0,0.951113,0,22.0509
"Lintrup","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495400.xml",544,469,5,2,476,63,7,11,7,46,1,126,191,10,7,0,"Lintrup, Vejen, Denmark",55.41,8.96993,6660,575,"6660 Lintrup",NaN,NaN,14.9254,NA,NA,NA,NA
"Skodborg","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495401.xml",1318,1143,7,3,1153,272,16,37,26,78,11,305,340,33,25,0,"Skodborg, Vejen, Denmark",55.4207,9.15123,6630,575,"6630 Rødding",-0.951113,-22.0509,25.1969,0,0.951113,0,22.0509
"Københoved","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495402.xml",340,303,1,1,305,45,5,12,6,43,4,72,103,6,7,0,"Københoved, Vejen, Denmark",55.4206,9.10006,6630,575,"6630 Rødding",-0.951113,-22.0509,16.5017,0,0.951113,0,22.0509
"Øster Lindet","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495403.xml",610,520,5,0,525,90,8,17,24,43,8,144,158,20,8,0,"Øster Lindet, Vejen, Denmark",55.3073,9.14846,6630,575,"6630 Rødding",-0.951113,-22.0509,18.8462,0,0.951113,0,22.0509
"Vejen","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495404.xml",6677,5607,44,22,5673,1624,120,141,149,341,28,1561,1297,258,88,0,"Vejen, Vejen, Denmark",55.4792,9.138,6600,575,"6600 Vejen",4.1236,6.52949,31.104,4.1236,0,6.52949,0
"Læborg","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495405.xml",518,475,2,1,478,76,9,13,11,43,2,153,141,19,8,0,"Læborg, Vejen, Denmark",55.5229,9.10805,6600,575,"6600 Vejen",4.1236,6.52949,17.8947,4.1236,0,6.52949,0
"Askov-Malt","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495406.xml",2182,1995,12,5,2012,415,85,45,59,215,5,452,572,86,61,0,"Askov-Malt, Vejen, Denmark",55.4729,9.08537,6600,575,"6600 Vejen",4.1236,6.52949,25.0627,4.1236,0,6.52949,0
"Andst","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495407.xml",1064,942,8,3,953,212,27,23,33,82,16,268,221,40,20,0,"Andst, Vejen, Denmark",55.4681,9.23099,6600,575,"6600 Vejen",4.1236,6.52949,25.3715,4.1236,0,6.52949,0
"Gesten","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495408.xml",1098,983,11,1,995,237,25,12,17,81,4,297,234,50,26,0,"Gesten, Vejen, Denmark",55.5253,9.2098,6621,575,"6621 Gesten",NaN,NaN,26.6531,NA,NA,NA,NA
"Bække","7. Vejen","Sydjyllands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495409.xml",1577,1335,12,2,1349,219,19,28,49,119,11,475,346,41,28,0,"Bække, Vejen, Denmark",55.5703,9.13872,6622,575,"6622 Bække",NaN,NaN,17.8277,NA,NA,NA,NA
