"Afstemningsområde","Opstillingskreds","Storkreds","Landsdel","Filnavn","Stemmeberettigede","IAltGyldigeStemmer","BlankeStemmer","AndreUgyldigeStemmer","IAltAfgivneStemmer","A","B","C","F","I","K","O","V","Ø","Å","UdenForParti","adrstring","lat","lon","zip","muninum","area","hp_1yr","hp_2yr","incsupport","hp_1yrposchange","hp_1yrnegchange","hp_2yrposchange","hp_2yrnegchange"
"6. Syd","6. Bispebjerg","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494662.xml",9467,7514,100,36,7650,1453,652,132,506,548,29,722,490,1836,1120,26,"Syd, Bispebjerg, Denmark",55.7135,12.5351,2400,101,"2400 København NV",22.3185,38.0497,28.0144,22.3185,0,38.0497,0
"7. Brønshøj","7. Brønshøj","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494663.xml",3851,3326,27,5,3358,832,245,120,260,219,9,500,370,452,316,3,"Brønshøj, Brønshøj, Denmark",55.7039,12.4992,2700,101,"2700 Brønshøj",13.8144,13.709,32.3812,13.8144,0,13.709,0
"7. Nord","7. Brønshøj","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494664.xml",2270,1382,12,20,1414,485,45,15,87,29,4,213,54,387,50,13,"Nord, Brønshøj, Denmark",55.7072,12.4915,2700,101,"2700 Brønshøj",13.8144,13.709,38.3502,13.8144,0,13.709,0
"7. Syd","7. Brønshøj","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494665.xml",7103,6057,58,16,6131,1435,535,169,508,472,31,776,591,864,665,11,"Syd, Brønshøj, Denmark",55.7072,12.4915,2700,101,"2700 Brønshøj",13.8144,13.709,32.5244,13.8144,0,13.709,0
"7. Øst","7. Brønshøj","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494666.xml",7837,6592,61,22,6675,1700,498,158,520,376,39,879,551,1211,646,14,"Øst, Brønshøj, Denmark",55.7072,12.4915,2700,101,"2700 Brønshøj",13.8144,13.709,33.3434,13.8144,0,13.709,0
"7. Vest","7. Brønshøj","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494667.xml",6032,4467,47,20,4534,1224,280,111,308,244,20,763,371,809,318,19,"Vest, Brønshøj, Denmark",55.7072,12.4915,2700,101,"2700 Brønshøj",13.8144,13.709,33.6691,13.8144,0,13.709,0
"7. Nordvest","7. Brønshøj","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494668.xml",8018,6653,65,17,6735,1782,422,165,489,394,30,1192,660,1002,499,18,"Nordvest, Brønshøj, Denmark",55.7072,12.4915,2700,101,"2700 Brønshøj",13.8144,13.709,33.1279,13.8144,0,13.709,0
"7. Katrinedal","7. Brønshøj","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494669.xml",4373,3712,27,10,3749,914,299,130,276,312,18,476,405,547,330,5,"Katrinedal, Brønshøj, Denmark",55.691,12.4951,2720,101,"2720 Vanløse",12.7869,17.9698,32.6778,12.7869,0,17.9698,0
"7. Kirkebjerg","7. Brønshøj","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494670.xml",5122,4464,52,7,4523,1033,380,157,415,368,45,564,474,638,386,4,"Kirkebjerg, Brønshøj, Denmark",55.6946,12.4822,2720,101,"2720 Vanløse",12.7869,17.9698,31.6532,12.7869,0,17.9698,0
"7. Vanløse","7. Brønshøj","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494671.xml",10077,8516,85,21,8622,2135,665,215,646,716,39,1160,952,1260,711,17,"Vanløse, Brønshøj, Denmark",55.7072,12.4915,2700,101,"2700 Brønshøj",13.8144,13.709,32.8793,13.8144,0,13.709,0
"8. Valby","8. Valby","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494672.xml",8081,6771,85,24,6880,1713,580,215,495,558,35,838,707,1003,609,18,"Valby, Valby, Denmark",55.6617,12.5168,2500,101,"2500 Valby",12.2982,20.2798,33.865,12.2982,0,20.2798,0
"8. Nord","8. Valby","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494673.xml",8512,7256,68,26,7350,1597,682,188,536,668,33,867,777,1147,743,18,"Nord, Valby, Denmark",55.6617,12.5168,2500,101,"2500 Valby",12.2982,20.2798,31.4085,12.2982,0,20.2798,0
"8. Syd","8. Valby","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494674.xml",4535,3444,38,25,3507,1064,167,83,176,224,11,694,309,504,200,12,"Syd, Valby, Denmark",55.6617,12.5168,2500,101,"2500 Valby",12.2982,20.2798,35.7433,12.2982,0,20.2798,0
"8. Vest","8. Valby","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494675.xml",4822,3687,27,19,3733,992,229,81,241,219,24,704,304,626,247,20,"Vest, Valby, Denmark",55.6617,12.5168,2500,101,"2500 Valby",12.2982,20.2798,33.1164,12.2982,0,20.2798,0
"8. Sydøst","8. Valby","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494676.xml",3782,2995,34,13,3042,762,240,58,213,168,8,404,264,554,314,10,"Sydøst, Valby, Denmark",55.6617,12.5168,2500,101,"2500 Valby",12.2982,20.2798,33.4558,12.2982,0,20.2798,0
"8. Midt","8. Valby","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494677.xml",6194,5211,45,13,5269,1304,448,144,370,486,28,584,525,812,499,11,"Midt, Valby, Denmark",55.6617,12.5168,2500,101,"2500 Valby",12.2982,20.2798,33.6212,12.2982,0,20.2798,0
"9. Vesterbro","9. Vesterbro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494678.xml",7040,6196,46,22,6264,1152,743,98,520,345,8,351,337,1423,1209,10,"Vesterbro, Vesterbro, Denmark",55.6727,12.5509,1620,101,NA,NA,NA,30.5842,NA,NA,NA,NA
"9. Nord","9. Vesterbro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494679.xml",8190,7042,41,13,7096,1240,929,142,507,581,13,339,468,1541,1264,18,"Nord, Vesterbro, Denmark",55.6639,12.5425,1720,101,NA,NA,NA,30.8009,NA,NA,NA,NA
"9. Syd","9. Vesterbro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494680.xml",8483,6553,60,25,6638,1555,319,93,442,353,29,1060,398,1558,723,23,"Syd, Vesterbro, Denmark",55.6639,12.5425,1720,101,NA,NA,NA,28.5976,NA,NA,NA,NA
"9. Øst","9. Vesterbro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494681.xml",6261,5433,48,7,5488,1041,705,107,422,464,8,252,385,1077,968,4,"Øst, Vesterbro, Denmark",55.6639,12.5425,1720,101,NA,NA,NA,32.1369,NA,NA,NA,NA
"9. Vest","9. Vesterbro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494682.xml",5423,4660,27,18,4705,910,535,71,396,285,9,298,300,1028,812,16,"Vest, Vesterbro, Denmark",55.6639,12.5425,1720,101,NA,NA,NA,31.0086,NA,NA,NA,NA
"9. Midt","9. Vesterbro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494683.xml",2944,2341,31,17,2389,513,177,34,172,160,10,251,170,503,345,6,"Midt, Vesterbro, Denmark",55.6639,12.5425,1720,101,NA,NA,NA,29.4746,NA,NA,NA,NA
"9. Sydhavn","9. Vesterbro","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494684.xml",3991,3483,29,3,3515,627,426,148,131,709,6,254,568,283,322,9,"Sydhavn, Vesterbro, Denmark",55.6548,12.5372,2450,101,"2450 København SV",24.2322,27.6818,30.2326,24.2322,0,27.6818,0
"10. Kreds, Søerne","10. Falkoner","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494685.xml",8154,7221,54,20,7295,1560,960,399,462,756,21,570,817,860,796,20,"Kreds, Søerne, Falkoner, Denmark",NA,NA,NA,NA,NA,NA,NA,34.8982,NA,NA,NA,NA
"10. Kreds, Ny Hollænder","10. Falkoner","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494686.xml",8552,7642,62,24,7728,1646,896,508,441,816,15,634,1043,812,819,12,"Kreds, Ny Hollænder, Falkoner, Denmark",NA,NA,NA,NA,NA,NA,NA,33.2635,NA,NA,NA,NA
"10. Kreds, Bülowsvej","10. Falkoner","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494687.xml",10987,9702,75,34,9811,2028,1292,516,612,1016,20,734,1164,1211,1093,16,"Kreds, Bülowsvej, Falkoner, Denmark",NA,NA,NA,NA,NA,NA,NA,34.2197,NA,NA,NA,NA
"10. Kreds, Duevej","10. Falkoner","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494688.xml",10086,8759,63,19,8841,1900,992,547,500,996,29,782,1105,1102,792,14,"Kreds, Duevej, Falkoner, Denmark",NA,NA,NA,NA,NA,NA,NA,33.0175,NA,NA,NA,NA
"11. Kreds, Lindevang","11. Slots","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494689.xml",10136,8427,71,25,8523,1893,765,508,458,874,31,993,1042,1110,732,21,"Kreds, Lindevang, Slots, Denmark",NA,NA,NA,NA,NA,NA,NA,31.5415,NA,NA,NA,NA
"11. Kreds, Søndermark","11. Slots","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494690.xml",8819,7554,56,25,7635,1798,579,513,403,664,27,1043,1122,866,527,12,"Kreds, Søndermark, Slots, Denmark",NA,NA,NA,NA,NA,NA,NA,31.4668,NA,NA,NA,NA
