year;valgstedId;voters;votes;a;b;c;v;inc_support
2001;259007;2366,6;1998;629,63;90,24;125,93;612,81;0,360295295
2001;259008;1008;910;245;31;78;317;0,303296703
2001;259009;3622;3175;1073;105;260;960;0,371023622
2001;259010;3868;3402;1049;157;315;1135;0,354497354
2001;259011;2275,4;1921;605,37;86,76;121,07;589,19;0,36029672
2001;259012;3460;3039;772;131;295;1010;0,297137216
2001;259013;2311;2136;551;100;196;784;0,304775281
2001;259014;974;882;205;36;63;344;0,27324263
2001;259015;2197;1984;500;64;165;755;0,284274194
2001;259016;1238;1153;312;46;114;436;0,310494363
2001;260001;7324;6320;1992;255;333;1865;0,355537975
2001;260002;2797;2415;879;107;117;710;0,408281573
2001;260003;6886;5654;2160;207;357;1501;0,41864167
2001;260004;2136;1838;553;63;101;616;0,335146899
2001;260005;3223;2848;816;131;188;877;0,332514045
2001;265001;4390,88;3816,26;1068,99;260,56;354,68;1055,12;0,348390833
2001;265002;4724;4188;1085;297;513;1335;0,329990449
2001;265003;6184;5352;1814;352;345;1266;0,40470852
2001;265004;3759;3249,06;1113,56;198,67;207,1;792,4;0,403879891
2001;265005;5048;4312;1350;222;298;1210;0,364564007
2001;265006;4649,64;4260,6;931,49;327,2;494,71;1531,88;0,295425527
2001;265007;3219,8;2972,34;918,58;173,12;252,52;1063,52;0,36728638
2001;265008;1651;1553,94;428,44;83,33;154,9;520,6;0,32933704
2001;265009;922;832;214;44;73;295;0,310096154
2001;265010;4325,32;3514,4;1309,44;157,32;183,8;745,36;0,417357159
2001;265011;2349,46;2155,91;563,42;98,93;168,45;790,74;0,307225255
2001;265013;4143,7;3810,55;813,42;187,24;372,06;1506,47;0,262602511
2001;265014;1871;1749;451;65;149;675;0,295025729
2001;265015;2672,3;2457,45;524,58;120,76;239,94;971,53;0,262605546
2001;265016;1623;1478;411;68;125;577;0,324086604
2001;265017;3062;2831;891;157;200;1036;0,370187213
2001;265018;848;784;207;27;60;300;0,298469388
2001;265020;1187;1097;304;46;61;443;0,31905196
2001;265021;1343,9;1231,49;272,09;92,88;140,84;442,39;0,296364567
2001;269001;3084;2733,94;744,79;93,87;251,09;1012,32;0,306758744
2001;269004;4730;4272;973;160;424;1775;0,265215356
2001;269005;6998;6353,06;1478,21;248,13;639,91;2478,68;0,271733621
2001;270001;3742;3248;732;118;159;1329;0,261699507
2001;270002;2467;2138;481;129;135;750;0,285313377
2001;270003;399;373;70;15;28;145;0,227882038
2001;270004;3500;3078;765;130;154;1116;0,290773229
2001;270005;1770;1603;309;71;151;713;0,237055521
2001;270006;4682;4089;914;192;289;1560;0,27048178
2001;270007;1255;1100;205;58;66;454;0,239090909
2001;270008;5273;4601;1153;190;293;1886;0,291893067
2001;270009;772;699;155;42;45;266;0,281831187
2001;270010;2053;1862;362;107;126;770;0,251879699
2001;270011;2326;2031;459;113;119;708;0,281634663
2001;270012;1573;1415;324;135;105;433;0,324381625
2001;306001;2813;2453;661;112;325;760;0,315124338
2001;306002;3005;2602;795;99;225;768;0,34358186
2001;306003;1934;1675;477;54;145;504;0,317014925
2001;306004;2508;2131;540;85;203;698;0,293289535
2001;306005;1091;928;279;35;98;230;0,338362069
2001;306006;2291;1935;499;76;221;643;0,297157623
2001;306007;4696;3958;1323;185;437;1082;0,381000505
