"","valgstedid","vsnavn","kredsnavn","adrstring","lon","lat","zip","muninum"
"843",621005,"Bramdrupdam","11. Kolding Nord","Bramdrupdam,  Kolding Nord, Denmark",9.473185,55.52449,6000,621
"844",621006,"Alminde-Viuf/Vester Nebel","11. Kolding Nord","Alminde-Viuf/Vester Nebel,  Kolding Nord, Denmark",NA,NA,NA,NA
"845",621007,"Lunderskov/Jordrup","11. Kolding Nord","Lunderskov/Jordrup,  Kolding Nord, Denmark",9.3236876,55.5045804,6640,621
"846",621008,"Centrum Syd","12. Kolding Syd","Centrum Syd,  Kolding Syd, Denmark",9.4801488,55.5220727,6000,621
"847",621009,"Sydbyen","12. Kolding Syd","Sydbyen,  Kolding Syd, Denmark",NA,NA,NA,NA
"848",621010,"Seest","12. Kolding Syd","Seest,  Kolding Syd, Denmark",9.440699,55.485281,6000,621
"849",621011,"Dalby/Tved/Rebæk","12. Kolding Syd","Dalby/Tved/Reb�k,  Kolding Syd, Denmark",9.4962013,55.4840328,6000,621
"850",621012,"S Bjert/S Stenderup/Vejstrup","12. Kolding Syd","S Bjert/S Stenderup/Vejstrup,  Kolding Syd, Denmark",NA,NA,NA,NA
"851",621013,"Vonsild","12. Kolding Syd","Vonsild,  Kolding Syd, Denmark",9.475538,55.454761,6000,621
"852",621014,"Vamdrup/Hjarup/Ødis","12. Kolding Syd","Vamdrup/Hjarup/�dis,  Kolding Syd, Denmark",9.3841502,55.4157331,6580,621
"853",621015,"Chr.Feld/Stepping/Taps/Hejls","12. Kolding Syd","ChrFeld/Stepping/Taps/Hejls,  Kolding Syd, Denmark",NA,NA,NA,NA
"854",630001,"Brejning Syd","9. Vejle Syd","Brejning Syd,  Vejle Syd, Denmark",9.6736587,55.6647368,7080,630
"855",630002,"Børkop Syd","9. Vejle Syd","Børkop Syd,  Vejle Syd, Denmark",9.651806,55.640666,7080,630
"856",630003,"Gårslev Syd","9. Vejle Syd","Gårslev Syd,  Vejle Syd, Denmark",9.7025539,55.638595,7080,630
"857",630004,"Smidstrup Syd","9. Vejle Syd","Smidstrup Syd,  Vejle Syd, Denmark",9.567534,55.614341,7000,630
"858",630005,"Ødsted Syd","9. Vejle Syd","Ødsted Syd,  Vejle Syd, Denmark",9.40041,55.656333,7100,630
"859",630006,"Egtved Syd","9. Vejle Syd","Egtved Syd,  Vejle Syd, Denmark",9.312292,55.617559,6040,630
"860",630007,"Jerlev Syd","9. Vejle Syd","Jerlev Syd,  Vejle Syd, Denmark",9.43987,55.672461,7100,630
"861",630008,"Øster Starup Syd","9. Vejle Syd","Øster Starup Syd,  Vejle Syd, Denmark",9.4534587,55.6048485,6040,630
"862",630009,"Dgi-Huset Syd","9. Vejle Syd","Dgi-Huset Syd,  Vejle Syd, Denmark",NA,NA,NA,NA
"863",630010,"Multihuset Højen Syd","9. Vejle Syd","Multihuset Højen Syd,  Vejle Syd, Denmark",9.501569,55.656298,7100,630
"864",630011,"Vindinghallen Syd","9. Vejle Syd","Vindinghallen Syd,  Vejle Syd, Denmark",NA,NA,NA,NA
"865",630012,"Mølholmhallen Syd","9. Vejle Syd","Mølholmhallen Syd,  Vejle Syd, Denmark",NA,NA,NA,NA
"866",630013,"Løget Kirke Syd","9. Vejle Syd","Løget Kirke Syd,  Vejle Syd, Denmark",NA,NA,NA,NA
"867",630014,"Csv Syd","9. Vejle Syd","Csv Syd,  Vejle Syd, Denmark",NA,NA,NA,NA
"868",630015,"Rødkilde Gymnasium Syd","9. Vejle Syd","Rødkilde Gymnasium Syd,  Vejle Syd, Denmark",9.5543853,55.7108354,7100,630
"869",630016,"Skibethallen Nord","8. Vejle Nord","Skibethallen Nord,  Vejle Nord, Denmark",NA,NA,NA,NA
"870",630017,"Give Nord","8. Vejle Nord","Give Nord,  Vejle Nord, Denmark",9.237394,55.844405,7323,630
"871",630018,"Thyregod Nord","8. Vejle Nord","Thyregod Nord,  Vejle Nord, Denmark",9.259782,55.907213,7323,630
"872",630019,"Gadbjerg Nord","8. Vejle Nord","Gadbjerg Nord,  Vejle Nord, Denmark",9.3230799,55.77121,7321,630
"873",630020,"Givskud Nord","8. Vejle Nord","Givskud Nord,  Vejle Nord, Denmark",9.349232,55.816265,7323,630
"874",630021,"Grønbjerg Nord","8. Vejle Nord","Grønbjerg Nord,  Vejle Nord, Denmark",9.122072,55.815832,7323,630
"875",630022,"Lindeballe Nord","8. Vejle Nord","Lindeballe Nord,  Vejle Nord, Denmark",9.243306,55.770484,7321,630
"876",630023,"Øster Nykirke Nord","8. Vejle Nord","Øster Nykirke Nord,  Vejle Nord, Denmark",9.4695875,55.6404009,7100,630
"877",630024,"Jelling Nord","8. Vejle Nord","Jelling Nord,  Vejle Nord, Denmark",9.4168679,55.753119,7300,630
"878",630025,"Kollerup-Sandvad Nord","8. Vejle Nord","Kollerup-Sandvad Nord,  Vejle Nord, Denmark",9.459792,55.781568,7300,630
"879",630026,"Grejs Nord","8. Vejle Nord","Grejs Nord,  Vejle Nord, Denmark",9.546481,55.762458,7100,630
"880",630027,"Bredsten Nord","8. Vejle Nord","Bredsten Nord,  Vejle Nord, Denmark",9.3842629,55.7028282,7182,630
"881",630028,"Nørup Nord","8. Vejle Nord","Nørup Nord,  Vejle Nord, Denmark",9.303968,55.718632,7182,630
"882",630029,"Randbøl Nord","8. Vejle Nord","Randbøl Nord,  Vejle Nord, Denmark",9.2476,55.694217,7183,630
"883",630030,"Nørremarkshallen Nord","8. Vejle Nord","Nørremarkshallen Nord,  Vejle Nord, Denmark",NA,NA,NA,NA
"884",630031,"Engum Nord","8. Vejle Nord","Engum Nord,  Vejle Nord, Denmark",9.657435,55.742323,7120,630
"885",630032,"Hældagerhallen Nord","8. Vejle Nord","Hældagerhallen Nord,  Vejle Nord, Denmark",NA,NA,NA,NA
"886",630033,"Grejsdalshallen Nord","8. Vejle Nord","Grejsdalshallen Nord,  Vejle Nord, Denmark",NA,NA,NA,NA
"887",630034,"Petersmindehallen Nord","8. Vejle Nord","Petersmindehallen Nord,  Vejle Nord, Denmark",9.510912,55.7240228,7100,630
"888",657001,"Herning","8. Herning Syd","Herning,  Herning Syd, Denmark",8.967322,56.138557,7400,657
"889",657002,"Arnborg","8. Herning Syd","Arnborg,  Herning Syd, Denmark",9.0139919,56.0105126,7400,657
"890",657005,"Kibæk","8. Herning Syd","Kibæk,  Herning Syd, Denmark",8.854738,56.035142,6933,657
"891",657006,"Kølkær","8. Herning Syd","Kølkær,  Herning Syd, Denmark",9.0854199,56.06526,7400,657
"892",657007,"Lind","8. Herning Syd","Lind,  Herning Syd, Denmark",8.980457,56.104826,7400,657
"893",657008,"Sdr. Felding","8. Herning Syd","Sdr Felding,  Herning Syd, Denmark",8.7787478,55.96601,7280,657
"894",657009,"Skarrild","8. Herning Syd","Skarrild,  Herning Syd, Denmark",8.898121,55.978326,6933,657
"895",657011,"Studsgård","8. Herning Syd","Studsgård,  Herning Syd, Denmark",8.908508,56.090547,7400,657
"896",657013,"Aulum","9. Herning Nord","Aulum,  Herning Nord, Denmark",8.793653,56.265781,7490,657
"897",657014,"Feldborg","9. Herning Nord","Feldborg,  Herning Nord, Denmark",8.8714402,56.2983476,7490,657
"898",657015,"Gullestrup","9. Herning Nord","Gullestrup,  Herning Nord, Denmark",8.9751,56.168628,7400,657
"899",657016,"Haderup","9. Herning Nord","Haderup,  Herning Nord, Denmark",8.995795,56.388701,7540,657
"900",657017,"Hammerum","9. Herning Nord","Hammerum,  Herning Nord, Denmark",9.061126,56.134587,7400,657
"901",657018,"Hodsager","9. Herning Nord","Hodsager,  Herning Nord, Denmark",8.857039,56.315772,7490,657
"902",657019,"Ilskov","9. Herning Nord","Ilskov,  Herning Nord, Denmark",9.089707,56.237378,7451,657
"903",657020,"Simmelkær","9. Herning Nord","Simmelkær,  Herning Nord, Denmark",9.000022,56.268942,7451,657
"904",657021,"Sinding","9. Herning Nord","Sinding,  Herning Nord, Denmark",8.851548,56.21424,7400,657
"905",657022,"Skibbild/Nøvling","9. Herning Nord","Skibbild/Nøvling,  Herning Nord, Denmark",8.8530896,56.1768597,7480,657
"906",657023,"Snejbjerg","9. Herning Nord","Snejbjerg,  Herning Nord, Denmark",8.899073,56.131568,7400,657
"907",657024,"Sunds","9. Herning Nord","Sunds,  Herning Nord, Denmark",9.014758,56.204832,7451,657
"908",657025,"Timring","9. Herning Nord","Timring,  Herning Nord, Denmark",8.739473,56.176431,7480,657
"909",657026,"Tjørring","9. Herning Nord","Tjørring,  Herning Nord, Denmark",8.921957,56.161086,7400,657
"910",657027,"Vildbjerg","9. Herning Nord","Vildbjerg,  Herning Nord, Denmark",8.766069,56.195461,7480,657
"911",657028,"Vind","9. Herning Nord","Vind,  Herning Nord, Denmark",8.565334,56.257541,7500,657
"912",657029,"Vinding","9. Herning Nord","Vinding,  Herning Nord, Denmark",8.745438,56.266386,7490,657
"913",657030,"Ørnhøj","9. Herning Nord","Ørnhøj,  Herning Nord, Denmark",8.565246,56.199645,6973,657
"914",661001,"Musikteatret","10. Holstebro","Musikteatret,  Holstebro, Denmark",8.621727,56.361534,7500,661
"915",661002,"Mejdal","10. Holstebro","Mejdal,  Holstebro, Denmark",8.641387,56.348827,7500,661
"916",661003,"Skave","10. Holstebro","Skave,  Holstebro, Denmark",8.801352,56.390792,7500,661
"917",661004,"Mejrup","10. Holstebro","Mejrup,  Holstebro, Denmark",8.692907,56.363966,7500,661
"918",661005,"Birkelundskolen","10. Holstebro","Birkelundskolen,  Holstebro, Denmark",8.5929222,56.3754204,7500,661
"919",661006,"Vinderup","10. Holstebro","Vinderup,  Holstebro, Denmark",8.780706,56.478594,7830,661
"920",661007,"Sevel","10. Holstebro","Sevel,  Holstebro, Denmark",8.87043,56.456179,7830,661
"921",661008,"Ulfborg","10. Holstebro","Ulfborg,  Holstebro, Denmark",8.318263,56.273653,6990,661
