"year","valgstedid","voters","votes","a","b","c","v","vsnavn","komnavn","kredsnavn","kontanthjaelp","arbejd","boligstoer_kvm","ejer","formue","indkomst","indkomst_80pct","zip","muninum","y","zipy","hp_1yr","hp_2yr","incsupport","hp_1yrposchange","hp_1yrnegchange","hp_2yrposchange","hp_2yrnegchange"
2005,751045,7316,6642,0.196176,0.14318,0.140771,0.323698,"Bellevue-Hallen","Århus","4. Århus Øst",0.0176133,0.683455,133.659,0.786801,3.09098e+06,782728,1.08181e+06,8240,751,5,"8240_5",22.2983,36.301,0.464469,22.2983,0,36.301,0
2007,751045,7168,6644,0.203943,0.0871463,0.13245,0.306893,"Bellevue-Hallen","Århus","4. Århus Øst",0.0176133,0.683455,133.659,0.786801,3.09098e+06,782728,1.08181e+06,8240,751,7,"8240_7",-10.4174,-3.52017,0.439344,0,10.4174,0,3.52017
2011,751045,7427,6970,0.175036,0.152367,0.0625538,0.341463,"Bellevue-Hallen","Århus","4. Århus Øst",0.0176133,0.683455,134.52,0.756696,3.09098e+06,782728,1.08181e+06,8240,751,11,"8240_11",-6.35976,11.8386,0.404017,0,6.35976,11.8386,0
2015,751045,7586,7071,0.238297,0.0865507,0.0554377,0.224296,"Bellevue-Hallen","Århus","4. Århus Øst",0.0176133,0.683455,134.52,0.756696,3.09098e+06,782728,1.08181e+06,8240,751,15,"8240_15",11.9547,5.29611,0.324848,11.9547,0,5.29611,0
2005,751047,7151,6278,0.299299,0.0847404,0.10927,0.277318,"Lystrup Skole","Århus","3. Århus Nord",0.0291433,0.641243,115.72,0.573555,893816,536061,785013,8250,751,5,"8250_5",18.1922,30.094,0.386588,18.1922,0,30.094,0
2007,751047,7209,6445,0.280993,0.0524438,0.111404,0.251047,"Lystrup Skole","Århus","3. Århus Nord",0.0291433,0.641243,115.72,0.573555,893816,536061,785013,8250,751,7,"8250_7",-2.88774,8.20731,0.362452,0,2.88774,8.20731,0
2011,751047,8000,7273,0.277877,0.100509,0.0464733,0.27884,"Lystrup Skole","Århus","3. Århus Nord",0.0291433,0.641243,118.107,0.589166,893816,536061,785013,8250,751,11,"8250_11",-0.846672,-7.7558,0.325313,0,0.846672,0,7.7558
2015,751047,8128,7334,0.302563,0.0486774,0.038451,0.184074,"Lystrup Skole","Århus","3. Århus Nord",0.0291433,0.641243,118.107,0.589166,893816,536061,785013,8250,751,15,"8250_15",3.47448,12.6054,0.351241,3.47448,0,12.6054,0
2005,751048,2048,1830,0.317486,0.137158,0.0672131,0.192896,"Virupskolen,Hjortshøj","Århus","4. Århus Øst",0.028932,0.623884,107.399,0.504519,850110,483933,729315,NA,NA,5,"NA_5",NA,NA,0.260109,NA,NA,NA,NA
2007,751048,2176,2002,0.304695,0.0894106,0.0524476,0.177822,"Virupskolen,Hjortshøj","Århus","4. Århus Øst",0.028932,0.623884,107.399,0.504519,850110,483933,729315,NA,NA,7,"NA_7",NA,NA,0.23027,NA,NA,NA,NA
2011,751048,2267,2096,0.302004,0.133588,0.0267176,0.177004,"Virupskolen,Hjortshøj","Århus","4. Århus Øst",0.028932,0.623884,109.91,0.476084,850110,483933,729315,NA,NA,11,"NA_11",NA,NA,0.203721,NA,NA,NA,NA
2015,751048,2606,2410,0.30083,0.0680498,0.0257261,0.104979,"Virupskolen,Hjortshøj","Århus","4. Århus Øst",0.028932,0.623884,109.91,0.476084,850110,483933,729315,NA,NA,15,"NA_15",NA,NA,0.36888,NA,NA,NA,NA
2005,751049,3500,3148,0.242058,0.091169,0.142948,0.318933,"Sølystskolen,Egå","Århus","4. Århus Øst",0.0233434,0.570568,118.126,0.726238,1.96043e+06,538811,803665,8250,751,5,"8250_5",18.1922,30.094,0.461881,18.1922,0,30.094,0
2007,751049,3468,3160,0.23481,0.0588608,0.140506,0.289557,"Sølystskolen,Egå","Århus","4. Århus Øst",0.0233434,0.570568,118.126,0.726238,1.96043e+06,538811,803665,8250,751,7,"8250_7",-2.88774,8.20731,0.430063,0,2.88774,8.20731,0
2011,751049,3559,3298,0.230443,0.105822,0.0621589,0.335658,"Sølystskolen,Egå","Århus","4. Århus Øst",0.0233434,0.570568,119.539,0.702261,1.96043e+06,538811,803665,8250,751,11,"8250_11",-0.846672,-7.7558,0.397817,0,0.846672,0,7.7558
2015,751049,3684,3340,0.26018,0.0547904,0.0520958,0.216168,"Sølystskolen,Egå","Århus","4. Århus Øst",0.0233434,0.570568,119.539,0.702261,1.96043e+06,538811,803665,8250,751,15,"8250_15",3.47448,12.6054,0.31497,3.47448,0,12.6054,0
2005,751050,3588,3141,0.212034,0.0684495,0.147405,0.358166,"Skæring Skole","Århus","4. Århus Øst",0.0208333,0.606061,118.211,0.699124,1.99198e+06,587665,863686,8250,751,5,"8250_5",18.1922,30.094,0.505571,18.1922,0,30.094,0
2007,751050,3574,3226,0.208308,0.0464972,0.151271,0.33416,"Skæring Skole","Århus","4. Århus Øst",0.0208333,0.606061,118.211,0.699124,1.99198e+06,587665,863686,8250,751,7,"8250_7",-2.88774,8.20731,0.485431,0,2.88774,8.20731,0
