type;area;v1;v2;v3;v4;v5;v6;v7;v8;zipy
Parcel- og rækkehuse;2500 Valby;15.12;14.593;15.321;15.336;17.296;18.431;19.223;20.969;2500_5
Ejerlejligheder;2500 Valby;27.711;29.222;27.99;26.966999;25.587;25.66;24.761;22.504999;2500_7
Fritidshuse;2500 Valby;0;0;0;0;0;0;0;0;2500_7
Parcel- og rækkehuse;2500 Valby;26.563999;29.893999;27.725;28.226;28.448999;28.08;26.370001;27.319;2500_7
Ejerlejligheder;2600 Glostrup;16.408001;15.724;16.084999;16.073;14.932;15.704;16.665001;14.505;2600_11
Fritidshuse;2600 Glostrup;0;0;0;0;0;0;0;0;2600_11
Parcel- og rækkehuse;2600 Glostrup;17.735001;18.039;18.068001;18.702999;17.917;17.726999;16.5;17.539;2600_11
Ejerlejligheder;2600 Glostrup;15.812;15.168;15.458;17.775;15.951;16.399;16.576;17.629999;2600_15
Fritidshuse;2600 Glostrup;0;0;0;0;0;0;0;0;2600_15
Parcel- og rækkehuse;2600 Glostrup;18.325001;17.382999;16.518999;17.993;17.782;18.450001;18.517;19.261999;2600_15
Ejerlejligheder;2600 Glostrup;15.456;14.483;15.113;15.488;15.253;15.205;15.592;16.268;2600_5
Fritidshuse;2600 Glostrup;0;0;0;0;0;0;0;0;2600_5
Parcel- og rækkehuse;2600 Glostrup;12.848;12.96;12.481;13.529;14.205;13.678;15.018;16.055;2600_5
Ejerlejligheder;2600 Glostrup;23.306999;23.806;24.924;23.468;24.219;22.103001;20.586;19.254999;2600_7
Fritidshuse;2600 Glostrup;0;0;0;0;0;0;0;0;2600_7
Parcel- og rækkehuse;2600 Glostrup;21.808001;21.132;23.448;23.107;22.357;23.539;22.459;21.937;2600_7
Ejerlejligheder;2605 Brøndby;0;0;0;0;0;0;0;0;2605_11
Fritidshuse;2605 Brøndby;0;0;0;0;0;0;0;0;2605_11
Parcel- og rækkehuse;2605 Brøndby;17.922001;17.01;18.056999;18.844999;17.820999;17.318001;19.414;18.055;2605_11
Ejerlejligheder;2605 Brøndby;0;0;0;0;0;0;0;17.563999;2605_15
Fritidshuse;2605 Brøndby;0;0;0;0;0;0;0;0;2605_15
Parcel- og rækkehuse;2605 Brøndby;17.707001;16.530001;18.368;17.766001;18.607;18.591;18.348;18.861;2605_15
Ejerlejligheder;2605 Brøndby;14.239;14.357;0;14.87;0;0;14.752;15.967;2605_5
Fritidshuse;2605 Brøndby;0;0;0;0;0;0;0;0;2605_5
Parcel- og rækkehuse;2605 Brøndby;14.241;13.381;12.993;12.953;14.063;14.503;16.438999;16.028;2605_5
Ejerlejligheder;2605 Brøndby;0;21.771;0;0;0;0;0;0;2605_7
Fritidshuse;2605 Brøndby;0;0;0;0;0;0;0;0;2605_7
Parcel- og rækkehuse;2605 Brøndby;21.591999;24.323;22.889;23.464001;22.408001;21.415001;20.037001;22.292999;2605_7
Ejerlejligheder;2610 Rødovre;17.024;17.521999;16.000999;17.232;17.277;15.747;14.59;14.874;2610_11
Fritidshuse;2610 Rødovre;0;0;0;0;0;0;0;0;2610_11
Parcel- og rækkehuse;2610 Rødovre;17.521999;18.575001;19.184999;19.087;20.774;18.165001;20.142;18.358999;2610_11
Ejerlejligheder;2610 Rødovre;16.306;16.308001;16.955;16.188;17.719;17.677;19.285999;20.101999;2610_15
Fritidshuse;2610 Rødovre;0;0;0;0;0;0;0;0;2610_15
Parcel- og rækkehuse;2610 Rødovre;20.038;19.495001;19.896999;20.882999;20.747;21.087;22.096001;22.660999;2610_15
Ejerlejligheder;2610 Rødovre;15.629;15.928;15.497;15.15;15.938;16.507999;16.982;17.231001;2610_5
Fritidshuse;2610 Rødovre;0;0;0;0;0;0;0;0;2610_5
Parcel- og rækkehuse;2610 Rødovre;14.057;13.165;14.397;14.87;14.892;16.337;15.347;16.423;2610_5
Ejerlejligheder;2610 Rødovre;23.466999;24.386999;26.113001;23.955;24.216;22.802;22.415001;21.337999;2610_7
Fritidshuse;2610 Rødovre;0;0;0;0;0;0;0;0;2610_7
Parcel- og rækkehuse;2610 Rødovre;24.207001;24.726;23.231001;22.622999;22.879999;23.698999;23.539;22.761999;2610_7
Ejerlejligheder;2620 Albertslund;0;0;0;16.052999;15.339;0;0;0;2620_11
Fritidshuse;2620 Albertslund;0;0;0;0;0;0;0;0;2620_11
Parcel- og rækkehuse;2620 Albertslund;15.393;16.531;16.077;14.905;16.198999;15.806;15.68;15.007;2620_11
Ejerlejligheder;2620 Albertslund;12.884;10.996;0;0;12.566;14.282;16.552999;16.406;2620_15
Fritidshuse;2620 Albertslund;0;0;0;0;0;0;0;0;2620_15
Parcel- og rækkehuse;2620 Albertslund;14.276;15.322;15.379;16.124001;16.370001;16.15;16.274;17.066;2620_15
Ejerlejligheder;2620 Albertslund;14.736;15.034;13.469;13.178;13.972;13.837;14.49;15.043;2620_5
Fritidshuse;2620 Albertslund;0;0;0;0;0;0;0;0;2620_5
Parcel- og rækkehuse;2620 Albertslund;12.092;12.124;12.824;12.031;12.748;13.871;14.359;14.687;2620_5
Ejerlejligheder;2620 Albertslund;22.238001;21.243;22.871;23.131001;21.429001;20.228001;18.349001;20.07;2620_7
Fritidshuse;2620 Albertslund;0;0;0;0;0;0;0;0;2620_7
Parcel- og rækkehuse;2620 Albertslund;18.000999;20.076;21.096001;20.816;19.988001;20.358;18.403;18;2620_7
Ejerlejligheder;2625 Vallensbæk;0;0;0;0;0;0;0;0;2625_11
Fritidshuse;2625 Vallensbæk;0;0;0;0;0;0;0;0;2625_11
Parcel- og rækkehuse;2625 Vallensbæk;18.096001;18.461;19.127001;17.944;18.118999;20.938999;19.313;17.011999;2625_11
Ejerlejligheder;2625 Vallensbæk;0;0;0;14.723;0;0;0;0;2625_15
Fritidshuse;2625 Vallensbæk;0;0;0;0;0;0;0;0;2625_15
Parcel- og rækkehuse;2625 Vallensbæk;17.802999;21.011;18.353001;19.607;18.972;18.596001;18.361;19.997999;2625_15
Ejerlejligheder;2625 Vallensbæk;12.285;0;13.165;13.186;12.674;0;0;0;2625_5
Fritidshuse;2625 Vallensbæk;0;0;0;0;0;0;0;0;2625_5
Parcel- og rækkehuse;2625 Vallensbæk;15.655;14.974;14.919;15.833;16.591999;15.803;17.337;16.813;2625_5
Ejerlejligheder;2625 Vallensbæk;0;0;0;0;0;0;0;0;2625_7
Fritidshuse;2625 Vallensbæk;0;0;0;0;0;0;0;0;2625_7
Parcel- og rækkehuse;2625 Vallensbæk;0;0;24.801001;0;0;23.643999;22.451;21.629;2625_7
Ejerlejligheder;2630 Taastrup;13.948;15.531;14.554;14.237;14.118;13.999;13.856;12.75;2630_11
Fritidshuse;2630 Taastrup;0;0;0;0;0;0;0;0;2630_11
Parcel- og rækkehuse;2630 Taastrup;16.407;17.146;17.034;17.864;16.837999;16.054001;16.916;17.181999;2630_11
Ejerlejligheder;2630 Taastrup;14.05;12.962;13.678;14.232;13.568;13.931;14.854;15.298;2630_15
Fritidshuse;2630 Taastrup;0;0;0;0;0;0;0;0;2630_15
Parcel- og rækkehuse;2630 Taastrup;15.748;17.664;15.42;16.589001;16.334999;16.406;17.507;17.921;2630_15
Ejerlejligheder;2630 Taastrup;13.966;13.813;13.805;13.694;13.637;14.253;14.319;14.709;2630_5
Fritidshuse;2630 Taastrup;0;0;0;0;0;0;0;0;2630_5
Parcel- og rækkehuse;2630 Taastrup;13.849;13.838;12.91;13.615;13.632;14.686;14.593;15.015;2630_5
Ejerlejligheder;2630 Taastrup;20.573999;21.398001;21.681999;21.209;20.444;20.466999;19.621;18.535;2630_7
Fritidshuse;2630 Taastrup;0;0;0;0;0;0;0;0;2630_7
Parcel- og rækkehuse;2630 Taastrup;21.879999;22.408001;22.784;22.027;21.327;20.865999;21.882;20.884001;2630_7
Ejerlejligheder;2633 Returpost;0;0;0;0;0;0;0;0;2633_11
Fritidshuse;2633 Returpost;0;0;0;0;0;0;0;0;2633_11
Parcel- og rækkehuse;2633 Returpost;0;0;0;0;0;0;0;0;2633_11
Ejerlejligheder;2633 Returpost;0;0;0;0;0;0;0;0;2633_15
Fritidshuse;2633 Returpost;0;0;0;0;0;0;0;0;2633_15
Parcel- og rækkehuse;2633 Returpost;0;0;0;0;0;0;0;0;2633_15
Ejerlejligheder;2633 Returpost;0;0;0;0;0;0;0;0;2633_5
Fritidshuse;2633 Returpost;0;0;0;0;0;0;0;0;2633_5
Parcel- og rækkehuse;2633 Returpost;0;0;0;0;0;0;0;0;2633_5
Ejerlejligheder;2633 Returpost;0;0;0;0;0;0;0;0;2633_7
Fritidshuse;2633 Returpost;0;0;0;0;0;0;0;0;2633_7
Parcel- og rækkehuse;2633 Returpost;0;0;0;0;0;0;0;0;2633_7
Ejerlejligheder;2635 Ishøj;13.142;14.14;14.798;12.148;12.854;12.376;13.603;12.08;2635_11
Fritidshuse;2635 Ishøj;0;0;0;0;0;0;0;0;2635_11
Parcel- og rækkehuse;2635 Ishøj;15.648;13.968;15.381;16.471001;16.576;15.061;15.589;14.671;2635_11
Ejerlejligheder;2635 Ishøj;14.835;15.928;12.423;13.397;14.55;15.073;15.083;15.863;2635_15
Fritidshuse;2635 Ishøj;0;0;0;0;0;0;0;0;2635_15
Parcel- og rækkehuse;2635 Ishøj;15.702;14.322;15.056;15.161;15.067;15.356;15.825;17.834;2635_15
Ejerlejligheder;2635 Ishøj;13.455;14.335;14.539;14.424;14.828;14.192;14.518;14.935;2635_5
Fritidshuse;2635 Ishøj;0;0;0;0;0;0;0;0;2635_5
Parcel- og rækkehuse;2635 Ishøj;12.808;12.985;13.414;12.871;13.554;13.792;14.88;14.73;2635_5
Ejerlejligheder;2635 Ishøj;19.502001;21.952;22.855;21.879;20.737;21.233;19.247;20.787001;2635_7
Fritidshuse;2635 Ishøj;0;0;0;0;0;0;0;0;2635_7
Parcel- og rækkehuse;2635 Ishøj;20.693001;21.252001;21.517;20.207001;21.913;20.811001;21.118999;20.152;2635_7
