type;area;Q1_06;Q2_06;Q3_06;Q4_06;Q1_07;Q2_07;Q3_07;Q4_07
Parcel- og rækkehuse;4350 Ugerløse;0;0;11.807;13.087;13.508;0;0;0
Parcel- og rækkehuse;4360 Kirke Eskilstrup;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4370 Store Merløse;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4390 Vipperød;13.142;14.579;15.592;13.972;17.525;14.910;14.987;0
Parcel- og rækkehuse;4400 Kalundborg;10.193;10.595;11.339;11.317;11.568;11.456;11.640;11.620
Parcel- og rækkehuse;4420 Regstrup;11.340;11.085;12.147;12.473;13.583;15.953;14.772;13.444
Parcel- og rækkehuse;4440 Mørkøv;10.296;9.976;10.166;10.794;10.712;11.957;12.412;11.182
Parcel- og rækkehuse;4450 Jyderup;10.575;11.366;9.733;10.698;11.625;12.104;11.150;11.339
Parcel- og rækkehuse;4460 Snertinge;8.712;4.336;7.542;8.903;0;0;0;0
Parcel- og rækkehuse;4470 Svebølle;7.815;7.925;9.044;9.524;9.007;10.320;10.269;10.101
Parcel- og rækkehuse;4480 Store Fuglede;0;0;8.373;0;8.630;0;0;0
Parcel- og rækkehuse;4490 Jerslev Sjælland;8.200;8.837;8.237;9.093;8.947;9.454;9.040;7.935
Parcel- og rækkehuse;4500 Nykøbing Sj;9.534;9.358;11.019;12.157;12.093;11.906;12.337;10.937
Parcel- og rækkehuse;4520 Svinninge;10.528;10.852;12.000;11.101;11.704;11.986;11.260;12.363
Parcel- og rækkehuse;4532 Gislinge;0;10.879;12.154;0;0;11.435;0;0
Parcel- og rækkehuse;4534 Hørve;9.528;10.921;10.763;10.762;10.267;12.436;11.242;0
Parcel- og rækkehuse;4540 Fårevejle;9.690;10.728;10.878;10.329;10.216;12.127;11.439;11.287
Parcel- og rækkehuse;4550 Asnæs;9.252;11.352;12.711;12.395;10.997;11.750;11.009;11.927
Parcel- og rækkehuse;4560 Vig;6.553;8.397;11.043;9.233;12.088;12.478;10.823;10.603
Parcel- og rækkehuse;4571 Grevinge;0;0;0;0;0;10.446;0;0
Parcel- og rækkehuse;4572 Nørre Asmindrup;0;7.754;0;0;0;0;0;0
Parcel- og rækkehuse;4573 Højby;9.514;9.385;9.954;0;0;10.915;11.910;0
Parcel- og rækkehuse;4581 Rørvig;0;0;10.912;0;0;15.360;0;0
Parcel- og rækkehuse;4583 Sjællands Odde;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4591 Føllenslev;0;8.904;9.594;7.500;10.433;11.019;12.329;11.209
Parcel- og rækkehuse;4592 Sejerø;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4593 Eskebjerg;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4600 Køge;18.468;18.941;20.811;19.623;20.488;20.024;19.237;18.828
Parcel- og rækkehuse;4621 Gadstrup;15.806;17.790;14.780;20.905;18.658;19.283;17.904;0
Parcel- og rækkehuse;4622 Havdrup;19.642;19.922;18.824;22.478;21.402;20.746;0;0
Parcel- og rækkehuse;4623 Lille Skensved;15.114;18.092;16.456;0;0;19.005;15.990;15.826
Parcel- og rækkehuse;4632 Bjæverskov;15.573;15.136;17.949;18.174;17.815;19.434;15.854;16.528
Parcel- og rækkehuse;4640 Faxe;9.974;11.663;11.591;10.257;12.517;10.371;11.972;11.752
Parcel- og rækkehuse;4652 Hårlev;12.666;14.263;13.330;13.102;16.078;13.644;14.174;13.985
Parcel- og rækkehuse;4653 Karise;11.439;12.941;12.433;13.893;15.118;12.994;13.782;13.922
Parcel- og rækkehuse;4654 Faxe Ladeplads;11.605;11.629;13.231;12.694;13.508;12.970;12.719;14.766
Parcel- og rækkehuse;4660 Store Heddinge;10.594;11.444;13.448;12.192;10.824;11.441;12.246;12.514
Parcel- og rækkehuse;4671 Strøby;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4672 Klippinge;10.012;0;0;0;0;0;0;12.587
Parcel- og rækkehuse;4673 Rødvig Stevns;0;10.717;0;0;0;0;0;0
Parcel- og rækkehuse;4681 Herfølge;16.272;17.852;17.839;17.960;19.428;16.901;18.110;18.092
Parcel- og rækkehuse;4682 Tureby;14.216;16.291;0;0;0;0;0;0
Parcel- og rækkehuse;4683 Rønnede;9.389;12.071;11.797;11.383;11.426;10.885;12.752;11.545
Parcel- og rækkehuse;4684 Holmegaard;11.936;11.755;12.491;13.073;12.564;12.470;14.121;14.088
Parcel- og rækkehuse;4690 Haslev;12.288;12.521;13.890;13.794;13.681;14.111;13.790;15.103
Parcel- og rækkehuse;4700 Næstved;11.742;12.444;12.997;13.577;13.992;13.972;14.274;14.446
Parcel- og rækkehuse;4720 Præstø;8.902;10.947;11.586;11.582;12.285;12.580;12.238;12.731
Parcel- og rækkehuse;4733 Tappernøje;8.868;10.373;10.720;11.301;11.479;9.368;12.392;8.370
Parcel- og rækkehuse;4735 Mern;6.311;10.194;7.466;12.851;0;0;8.799;10.060
Parcel- og rækkehuse;4736 Karrebæksminde;11.668;13.405;0;0;0;0;0;0
Parcel- og rækkehuse;4750 Lundby;9.298;9.847;8.878;9.740;8.659;8.863;10.930;10.115
Parcel- og rækkehuse;4760 Vordingborg;10.587;10.486;11.457;11.212;11.376;11.426;11.748;11.701
Parcel- og rækkehuse;4771 Kalvehave;5.186;8.153;8.939;9.400;11.409;8.884;0;0
Parcel- og rækkehuse;4772 Langebæk;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4773 Stensved;4.312;9.997;10.370;8.291;0;0;11.280;9.072
Parcel- og rækkehuse;4780 Stege;8.722;9.854;9.402;8.574;9.550;9.973;9.793;9.591
Parcel- og rækkehuse;4791 Borre;7.558;6.887;6.493;0;0;0;0;0
Parcel- og rækkehuse;4792 Askeby;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4793 Bogø By;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4800 Nykøbing F;9.645;9.970;9.907;9.758;10.542;10.660;11.122;10.453
Parcel- og rækkehuse;4840 Nørre Alslev;7.168;8.323;7.111;8.347;8.284;9.313;8.240;8.241
Parcel- og rækkehuse;4850 Stubbekøbing;7.508;7.319;8.072;7.406;7.955;7.921;7.036;8.564
Parcel- og rækkehuse;4862 Guldborg;0;0;6.849;0;0;0;0;0
Parcel- og rækkehuse;4863 Eskilstrup;6.481;6.664;9.003;7.647;7.939;8.305;7.441;0
Parcel- og rækkehuse;4871 Horbelev;6.431;6.946;6.911;6.950;7.677;7.084;0;0
Parcel- og rækkehuse;4872 Idestrup;7.382;7.902;7.846;6.879;0;0;8.630;0
Parcel- og rækkehuse;4873 Væggerløse;0;0;6.891;0;0;0;0;13.299
Parcel- og rækkehuse;4874 Gedser;5.935;5.278;5.529;5.241;0;0;5.831;0
Parcel- og rækkehuse;4880 Nysted;5.997;5.239;6.927;9.502;8.182;8.530;7.933;7.944
Parcel- og rækkehuse;4891 Toreby L;5.511;7.087;6.694;0;0;0;0;6.350
Parcel- og rækkehuse;4892 Kettinge;5.118;0;0;5.573;7.541;5.462;6.446;6.567
Parcel- og rækkehuse;4894 Øster Ulslev;0;5.137;4.702;0;0;0;0;7.275
Parcel- og rækkehuse;4895 Errindlev;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4900 Nakskov;5.475;5.779;6.524;6.355;5.903;6.318;7.280;6.456
Parcel- og rækkehuse;4912 Harpelunde;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4913 Horslunde;0;0;5.010;5.126;4.367;5.028;4.561;0
Parcel- og rækkehuse;4920 Søllested;5.702;4.734;4.283;5.874;5.396;5.406;4.269;5.098
Parcel- og rækkehuse;4930 Maribo;7.263;7.121;8.208;6.426;8.643;8.639;9.090;7.621
Parcel- og rækkehuse;4941 Bandholm;0;5.541;0;0;0;0;0;0
Parcel- og rækkehuse;4943 Torrig L;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4944 Fejø;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4951 Nørreballe;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4952 Stokkemarke;0;0;0;0;0;0;0;6.320
Parcel- og rækkehuse;4953 Vesterborg;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4960 Holeby;6.060;4.820;5.751;5.240;6.709;5.136;5.940;5.821
Parcel- og rækkehuse;4970 Rødby;5.354;5.324;5.224;5.680;5.775;6.491;5.373;6.307
Parcel- og rækkehuse;4983 Dannemare;0;0;0;3.619;0;0;4.832;4.791
Parcel- og rækkehuse;4990 Sakskøbing;5.874;7.353;7.585;6.774;6.600;7.262;8.090;6.922
Parcel- og rækkehuse;5000 Odense C;13.969;14.211;14.005;15.304;14.827;15.503;15.883;16.027
Parcel- og rækkehuse;5200 Odense V;11.181;10.666;12.220;12.711;14.315;13.004;12.074;0
Parcel- og rækkehuse;5210 Odense NV;11.954;12.856;12.594;13.046;13.719;14.401;13.918;13.374
Parcel- og rækkehuse;5220 Odense SØ;13.594;13.052;13.531;14.620;13.803;14.636;14.980;15.060
Parcel- og rækkehuse;5230 Odense M;16.226;15.962;18.492;18.209;18.324;17.429;15.168;20.233
Parcel- og rækkehuse;5240 Odense NØ;11.534;11.582;11.558;11.478;12.982;12.291;12.096;13.915
Parcel- og rækkehuse;5250 Odense SV;13.142;13.227;12.819;14.155;14.737;15.188;14.664;15.075
Parcel- og rækkehuse;5260 Odense S;12.040;12.971;12.447;13.450;13.684;14.333;13.502;12.758
Parcel- og rækkehuse;5270 Odense N;11.236;11.682;12.117;13.064;13.409;13.637;13.316;12.366
Parcel- og rækkehuse;5290 Marslev;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;5300 Kerteminde;12.171;14.345;11.782;11.512;11.793;13.704;15.840;15.033
Parcel- og rækkehuse;5320 Agedrup;11.516;11.574;10.649;0;0;11.732;11.651;11.791
Parcel- og rækkehuse;5330 Munkebo;7.898;9.020;9.498;10.976;10.558;9.519;10.918;11.759
Parcel- og rækkehuse;5350 Rynkeby;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;5370 Mesinge;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;5380 Dalby;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;5390 Martofte;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;5400 Bogense;7.072;9.582;6.644;7.098;0;0;9.030;8.302
Parcel- og rækkehuse;5450 Otterup;7.186;7.172;7.811;7.312;7.654;9.258;7.944;9.382
Parcel- og rækkehuse;5462 Morud;0;0;0;10.599;0;0;0;0
Parcel- og rækkehuse;5463 Harndrup;5.956;6.177;0;0;0;0;6.464;0
Parcel- og rækkehuse;5464 Brenderup Fyn;0;0;0;0;0;9.154;0;0
Parcel- og rækkehuse;5466 Asperup;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;5471 Søndersø;6.823;7.592;7.229;7.969;7.534;8.700;9.237;8.138
Parcel- og rækkehuse;5474 Veflinge;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;5485 Skamby;5.552;0;0;0;0;0;0;0
